Document Key,"CMS 16th Ed. Citation Format Designation 

(categorization below determines how the spreadsheet is read by the website programming)

blog/website
book-chapter/section
book-entire
book-pamphlet
book-report/report section
journal-article
magazine-article
manuscript
newspaper-article
newspaper-supplement-article
review-book
thesis/dissertation",Author Name,Article Ttitle,"Article Sort Title

All articles (a, an, the) and spaces before the first and after the last words removed in this column

All punctuation removed, INCLUDING COLONS, QUOTATION MARKS, AND APOSTROPHES so that only letters are considered when the website alphabetizes","Publication Title

All italics are produced by the webiste programming, so encoding for italics is essential here.",Volume Number,Issue Number,Day,Month,Year,"Standardized Date 

(yyyy-mm-dd)","Pages 

(Website uses this column only)","Publisher 

(required for monograph)","Year of publication

(required for monograph)",Archival Holding,"Location of Physical Copy 

(for archival sources)","Place of Publication

for maps on website

also for browse by publication location feature","Permission Obtained

(date, point of contact, pertinent details)",Cost,Permission Acknowledgements & Other Notes,"Permission Statements

statements provided here replace the website's general permission statement 

For documents published outside the United States, make sure to use any permission statement already written. For new countries, a standard publication statement should be written which follows the model of permission statements provided here.","Acquisitions information
Sheridan1927_21(33),newspaper-article,"Edwin M. Sheridan, ","""The Lost Woman of San Nicolas,""",Lost Woman of San Nicolas,<i>Oxnard (CA) Daily Courier</i>,"21,",no. 33,10,August,1927,1927-08-10,4,,,,Braun Research Library,"Oxnard, California",Defunct,,,,,,,
Sheridan1927_21(34),newspaper-article,"Edwin M. Sheridan, ","""The Lost Woman of San Nicolas,""",Lost Woman of San Nicolas,<i>Oxnard (CA) Daily Courier</i>,"21,",no. 34,11,August,1927,1927-08-11,4,,,,Braun Research Library,"Oxnard, California",Defunct,,,,,,,
SkaneatelesFreePress1921,newspaper-article,,"""Alone for Eighteen Years. Indian Woman, Abandoned on Desert Island, Finally Found by Party of Otter Hunters,""","Alone for Eighteen Years. Indian Woman, Abandoned on Desert Island, Finally Found by Party of Otter Hunters",<i>Skaneateles (NY) Free Press</i>,"48, ",no. 20,29,July,1921,1921-07-29,8,,,,,"Skaneateles, New York",Public domain,,,,,,,
SpiritOfTheTimes1847,newspaper-article,,"""A Female Crusoe,"" ",Female Crusoe ,<i>Batavia (NY) Spirit of the Times</i>,"28, ",no. 31,19,January,1847,1847-01-19,1,,,,,"Batavia, New York",Public domain,,,,,,,
SpiritOfTheTimes1853,newspaper-article,,"""A Female Crusoe,"" ",Female Crusoe ,<i>Ironton (OH) Spirit of the Times</i>,"1, ",no. 50,20,December,1853,1853-12-20,1,,,,,"Ironton, Ohio",Public domain,,,,,,,
SpringfieldDailyRepublican1853,newspaper-article,"[Goliah],","""A Female Robinson Crusoe,"" ",Female Robinson Crusoe ,<i>Springfield (MA) Daily Republican</i>,"10, ",no. 275,22,November,1853,1853-11-22,1,,,,,"Springfield, Massachusetts",Public domain,,,,,,,
SteubenFarmersAdvocate1879,newspaper-article,"[Absalom B. Stuart],","""A Female Crusoe,"" ",Female Crusoe ,<i>Steuben (NY) Farmers' Advocate</i>,"64, ",no. 23,6,June,1879,1879-06-06,1,,,,,"Bath, New York",Public domain,,,,,,,
StLawrencePlaindealer1879,newspaper-article,,"""A Feminine Crusoe. Alone on a Dreary Desert Island for Eighteen Years,""",Feminine Crusoe. Alone on a Dreary Desert Island for Eighteen Years,<i>St. Lawrence (NY) Plaindealer</i>,"23,",no. 84,27,February,1879,1879-02-27,4,Gilbert B. Manley,,,,"Canton, New York",Public domain,,"Canton, New York (St. Lawrence County)",,,,,
StLouisGlobeDemocrat1885,newspaper-article,"[Fred Spalding Witter],","""A Feminine Crusoe. Eighteen Years on a Desert Island—How She Lived and Dressed,"" ",Feminine Crusoe. Eighteen Years on a Desert Island—How She Lived and Dressed ,<i>St. Louis (MO) Globe-Democrat</i>,"10, ",no. 361,19,May,1885,1885-05-19,10,,,,,"St. Louis, Missouri",Public domain,,,,,,,
StLouisPostDispatch1885,newspaper-article,"[Fred Spalding Witter],","""A Feminine Crusoe. Eighteen Years On a Desert Island—How She Lived and Dressed,"" ",Feminine Crusoe. Eighteen Years On a Desert Island—How She Lived and Dressed ,<i>St. Louis Post-Dispatch</i>,"33, ",no. 285,23,May,1885,1885-05-23,2,,,,,"St. Louis, Missouri",Public domain,,,,,,,
Stuart1878,newspaper-article,"Absalom B. Stuart, ","""A Female Robinson Crusoe. A Wonderful Romance in Real Life—Eighteen Years Alone on the Island of San Nicholas, on the Coast of Southern California,"" ","Female Robinson Crusoe. A Wonderful Romance in Real Life—Eighteen Years Alone on the Island of San Nicholas, on the Coast of Southern California ",<i>Winona (MN) Daily Republican</i>,"19, ",no. 5863,30,December,1878,1878-12-30,1,,,,,"Winona, Minnesota",Public domain,,,,,,,
Stuart1879_Jan28,newspaper-article,"[Absalom B. Stuart],","""A Female Crusoe. The Lone Woman of San Nicolas Island. A Wonderful Romance in Real Life—Eighteen Years Alone on the Island of San Nicolas, on the Coast of Southern California,"" ","Female Crusoe. The Lone Woman of San Nicolas Island. A Wonderful Romance in Real Life—Eighteen Years Alone on the Island of San Nicolas, on the Coast of Southern California ",<i>Santa Barbara (CA) Daily Press</i>,"7, ",no. 162,28,January,1879,1879-01-28,1,,,,,"Santa Barbara, California",Public domain,,,,,,,
Stuart1879_Jan29,newspaper-article,"Absalom B. Stuart, ","""A Female Crusoe. The Lone Woman of San Nicolas Island. A Wonderful Romance in Real Life—Eighteen Years Alone on the Island of San Nicolas, on the Coast of Southern California,"" ","Female Crusoe. The Lone Woman of San Nicolas Island. A Wonderful Romance in Real Life—Eighteen Years Alone on the Island of San Nicolas, on the Coast of Southern California ",<i>Santa Barbara (CA) Daily Press</i>,"7, ",no. 163,29,January,1879,1879-01-29,3,,,,,"Santa Barbara, California",Public domain,,,,,,,
Stuart1880_TCE,newspaper-article,"[Absalom B. Stuart],","""A Female Crusoe. An Indian Woman Who Lived Eighteen Years Alone on an Island in the Pacific,"" ",Female Crusoe. An Indian Woman Who Lived Eighteen Years Alone on an Island in the Pacific ,<i>Cincinnati Enquirer</i>,"38, ",no. 248,4,September,1880,1880-09-04,10,,,,,"Cincinnati, Ohio",Public domain,,,,,,,
SullivanRepublican1892,newspaper-article,,"""Covered with Skeletons. San Nicolas Island and Its Gruesome Story,""",Covered with Skeletons. San Nicolas Island and Its Gruesome Story,<i>Laporte (PA) Sullivan Republican</i>,10,no. 24,25,March,1892,1892-03-25,2,,,,,"Laporte, Pennsylvania",,,,,,,,
SundayGlobe1887,newspaper-article,,"""A Mountain Mystery. The Strange Sight Seen by Some Ventura Hunters,""",Mountain Mystery. The Strange Sight Seen by Some Ventura Hunters,<i>St. Paul (MN) Sunday Globe</i>,9,no. 58,27,February,1887,1887-02-27,4,,,,,"St. Paul, Minnesota",,,,,,,,
TheAdamsSentinel1853,newspaper-article,,"""A Female Crusoe,"" ",Female Crusoe ,<i>Adams (PA) Sentinel and General Advertiser</i>,"54, ",no. 2,7,November,1853,1853-11-07,2,Robert G. Harper,,,,"Gettysburg, Pennsylvania",Public domain,,,,,,,
TheAlmanceGleaner1921,newspaper-article,,"""Alone For Eighteen Years. Indian Woman, Abandoned on Desert Island, Finally Found by Party of Otter Hunters,"" ","Alone For Eighteen Years. Indian Woman, Abandoned on Desert Island, Finally Found by Party of Otter Hunters",<i>Almance (NC) Gleaner</i>,"47, ",no. 21,30,June,1921,1921-06-30,8,,,,,"Graham, North Carolina",Public domain,,,,,,,
TheAmsterdamDailyDemocrat1885,newspaper-article,"[Fred Spalding Witter],","""A Feminine Crusoe. How She Lived Eighteen Years on a Desert Island. The Story of the Lost Woman of San Nicolas—Her Ingenuity and Fertility of Invention—A Wonderful History,""",Feminine Crusoe. How She Lived Eighteen Years on a Desert Island. The Story of the Lost Woman of San Nicolas—Her Ingenuity and Fertility of Invention—A Wonderful History,<i>Amsterdam (NY) Daily Democrat</i>,"6,",no. 255,17,June,1885,1885-06-17,3,William J. Kline,,,,"Amsterdam, New York",Public domain,,,,,,,
TheAntiSlaveryBugle1853,newspaper-article,"C., ","""A Female Crusoe,""",Female Crusoe,<i>New Lisbon (OH) Anti-Slavery Bugle</i>,,,3,December,1853,1853-12-03,4,Ohio American Antislavery Society,,,,"New-Lisbon, Ohio",Public domain,,,,,,,
TheArgus1857,newspaper-article,"C. J. W. Russell,","""A California Crusoe,""",California Crusoe,<i>Melbourne (AUS) Argus</i>,,no. 3535,9,October,1857,1857-10-09,7,,,,,"Melbourne, Victoria, Australia",,,,"Australian periodicals published in this archive were found via the National Library of Australia’s Trove project: http://trove.nla.gov.au. If re-publishing, quoting from, or reproducing images from this digital archive with original publication in Australia, we request that you cite the original source provided via Trove, as well as the Lone Woman and Last Indians Digital Archive (Lone Woman and Last Indians Digital Archive, University of South Carolina, https://www.nps.gov/subjects/islandofthebluedolphins/index.htm). Information about Australia copyright law, including fair use, can be found here: http://www.nla.gov.au/copyright-in-library- collections. 

Responsibility for any use of the contents of the Lone Woman and Last Indians Digital Archive rests exclusively with the user.",,,,
TheBannerDemocrat1901,newspaper-article,"[M.E. Dudley],","""The Woman of San Nicolas Island. A Strange Story of the Pacific Coast,"" ",Woman of San Nicolas Island. A Strange Story of the Pacific Coast,<i>Lake Providence (LA) Banner-Democrat</i>,"14, ",no. 11,28,December,1901,1901-12-28,1,,,,,"Lake Providence, Louisiana",Public domain,,,,,,,
TheBarberCountyIndex1887,newspaper-article,,"""A Mountain Mystery. The Strange Apparition Seen by Two Veracious California Hunters,""",Mountain Mystery. The Strange Apparition Seen by Two Veracious California Hunters,<i>Barber County (KS) Index</i>,7,no. 44,30,March,1887,1887-03-30,1,,,,,"Medicine Lodge, Kansas",,,,,,,,
TheBathPlaindealer1885,newspaper-article,"[Fred Spalding Witter],","""A Female Crusoe. The Singular Story of the Lost Woman of San Nicolas. Found on an Island Where She had Remained for Sixteen Years,"" ",Female Crusoe. The Singular Story of the Lost Woman of San Nicolas. Found on an Island Where She had Remained for Sixteen Years ,<i>Bath (NY) Plaindealer</i>,"3, ",no. 6,6,June,1885,1885-06-06,3,,,,,"Bath, New York",Public domain,,,,,,,
TheBeloitDailyCall1921_Jul7,newspaper-article,,"""Alone For Eighteen Years. Indian Woman, Abandoned on Desert Island, Finally Found by Party of Otter Hunters,"" ","Alone For Eighteen Years. Indian Woman, Abandoned on Desert Island, Finally Found by Party of Otter Hunters",<i>Beloit (KS) Daily Call</i>,"20, ",no. 218,7,July,1921,1921-07-07,5,,,,,"Beloit, Kansas",Public domain,,,,,,,
TheBeloitDailyCall1921_Jun28,newspaper-article,,"""Alone For Eighteen Years. Indian Woman, Abandoned on Desert Island, Finally Found by Party of Otter Hunters,"" ","Alone For Eighteen Years. Indian Woman, Abandoned on Desert Island, Finally Found by Party of Otter Hunters",<i>Beloit (KS) Daily Call</i>,"20, ",no. 105,28,June,1921,1921-06-28,3,,,,,"Beloit, Kansas",Public domain,,,,,,,
TheBemidjiDailyPioneer1921,newspaper-article,,"""Alone For Eighteen Years. Indian Woman, Abandoned on Desert Island, Finally Found by Party of Otter Hunters,"" ","Alone For Eighteen Years. Indian Woman, Abandoned on Desert Island, Finally Found by Party of Otter Hunters",<i>Bemidji (MN) Daily Pioneer</i>,"19, ",no. 75,16,July,1921,1921-07-16,8,,,,,"Bemidji, Minnesota",Public domain,,,,,,,
TheBlueRidgeBlade1879,newspaper-article,,"""A Female Robinson Crusoe,"" ",Female Robinson Crusoe ,<i>Morganton (NC) Blue Ridge Blade</i>,"4, ",no. 7,12,April,1879,1879-04-12,1,,,,,"Morganton, North Carolina",Public domain,,,,,,,
TheBostonAtlas1847,newspaper-article,,"""A Female Crusoe,""",Female Crusoe,<i>Boston Atlas</i>,"15,",no. 163,7,January,1847,1847-01-07,2,Wm. Hayden & Thos. M. Brewer,,,,"Boston, Massachusetts",Public domain,,,,,,"The story of the Lone Woman’s isolation on San Nicolas Island was first published in a Boston newspaper, not a California one, and it appeared in 1847, years before the Nicoleña’s 1853 arrival in Santa Barbara.  News of the Lone Woman’s island isolation was undoubtedly carried to New England by the Boston men who figured prominently in the Northwest and China trades.  They likely heard the tale from fellow sailors while anchored in a California port, and they then brought the story home to New England.  In fact, we can see the story travel from California to Boston in the journal of William Dane Phelps.  A seaman born in Gloucester, MA, and living in Boston, Phelps kept elaborate journals at sea, in part for the entertainment of his wife (he sometimes sent journal pages home in advance of his return, by way of Boston-bound ships).  In May of 1841, Phelps recorded the story of the Lone Woman and her people, which he had heard from another captain (Thomas Robbins) on the California coast.  Phelps might not be the source for the <i>Boston Atlas</i> story, but his journal provides clues as to how the tale initially reached Boston.  

Once the Lone Woman’s story was told in a Boston paper, it appeared in New York the next day (a copy of the <i>Boston Atlas</i> likely having traveled south by train).  Within a month, the story had spread through the mails, reaching rural South Carolina by February and Wisconsin by March, for example.  Simultaneously, it continued to circulate in New England and New York.  Editors often held an interesting story in reserve, waiting for a column gap of the right length to insert the waiting copy.  Seven months after the ""A Female Crusoe"" initially appeared in the <i>Boston Atlas</i>, the story of the Lone Woman ""doubled the horn"" a second time; a direct reprint of the article appeared in the <i>Honolulu Polynesian</i>, likely carried to Hawaii in a newspaper taken aboard a ship outbound on the Pacific trade.  

The <i>Boston Atlas</i> article and its reprints is notable for linking the Lone Woman to Robinson Crusoe in its headline and for describing the Nicoleños as Noble Savages, a peaceful people who were taken off-guard by the arrival of Alaska Native hunters from Kodiak Island (which the article’s author erroneously dates to ""1818 or 1820,"" rather than 1814).  In the article’s telling, some years after the Alaska Native hunters leave the island, a ship is sent from the mainland to collect the remaining Nicoleños.  The Lone Woman boards the ship but takes a dramatic dive off of it, leaving behind a bereaved mate who will pine for her on the mainland for years to come.  The Lone Woman is described as voluntarily choosing to remain on her natal island, where she is an Indian Queen, ""the monarch of all she surveys.""  She wears a birdskin dress and flees when she encounters any hunters.",
TheBostonWeeklyGlobe1885,newspaper-article,"[Fred Spalding Witter],","""Queen of San Nicolas. The Feminine Crusoe of the Pacific Ocean. Eighteen Years Alone on a Desert Island Seventy Miles from Shore. Her Dress of Feathers and Her Strange Language,"" ",Queen of San Nicolas. The Feminine Crusoe of the Pacific Ocean. Eighteen Years Alone on a Desert Island Seventy Miles from Shore. Her Dress of Feathers and Her Strange Language,<i>Boston Weekly Globe</i>,"13, ",no. 20,19,May,1885,1885-05-19,8,,,,,"Boston, Massachusetts",Public domain,,,,,,,
TheChanuteDailyTribune1921,newspaper-article,,"""Alone For Eighteen Years. Indian Woman, Abandoned on Desert Island, Finally Found by Party of Otter Hunters,"" ","Alone For Eighteen Years. Indian Woman, Abandoned on Desert Island, Finally Found by Party of Otter Hunters",<i>Chanute (KS) Daily Tribune</i>,"30, ",no. 103,8,August,1921,1921-08-08,4,,,,,"Chanute, Kansas",Public domain,,,,,,,
TheCincinnatiEnquirer1895,newspaper-article,,"""Exploration of the Channel Islands, Which Constitute California's Only Archipelago, to Be Undertaken By Stanford University Students. A Rich Field for Anthropological and Archæological Research—Uncanny Traditions,""","Exploration of the Channel Islands, Which Constitute Californias Only Archipelago, to Be Undertaken By Stanford University Students. A Rich Field for Anthropological and Archæological Research—Uncanny Traditions",<i>Cincinnati Enquirer</i>,"52,",no. 97,7,April,1895,1895-04-07,23,Faran & McLean,,,,"Cincinnati, Ohio",Public domain,,,,,,,
TheCincinnatiEnquirer1897,newspaper-article,,"""Island Covered with Human Bones. San Nicolas, the Golgotha of the Pacific. Strange Story of the Wild Woman Found There—Home of an Ancient Savage Race,""","Island Covered with Human Bones. San Nicolas, the Golgotha of the Pacific. Strange Story of the Wild Woman Found There—Home of an Ancient Savage Race",<i>Cincinnati Enquirer</i>,"54, ",no. 135,15,May,1897,1897-05-15,11,,,,,"Cincinnati, Ohio",Public domain,,,,,,,
TheCincinnatiEnquirer1899,newspaper-article,,"""Woman Hermit of San Nicholas. Her Unbroken Solitude of Eighteen Years. Small Island in the Pacific Which Has Proved a Treasure House for the Archaeologists,""",Woman Hermit of San Nicholas. Her Unbroken Solitude of Eighteen Years. Small Island in the Pacific Which Has Proved a Treasure House for the Archaeologists,<i>Cincinnati Enquirer</i>,"56, ",no. 84,25,March,1899,1899-03-25,14,,,,,"Cincinnati, Ohio",Public domain,,,,,,,
TheColdSpringRecorder1930,newspaper-article,,"""Crusoe Not in It with Indian Woman Recluse,""",Crusoe Not in It with Indian Woman Recluse,<i>Cold Spring (NY) Recorder</i>,"64,",no. 3305,25,July,1930,1930-07-25,Comic Sec. 3,,,,,"Cold Spring, New York","Defunct, so Y",,,,,,,
TheCouncilGroveRepublican1879,newspaper-article,,"""A Feminine Crusoe. Alone on a Dreary Desert Island for 18 Years,"" ",Feminine Crusoe. Alone on a Dreary Desert Island for 18 Years ,<i>Council Grove (KS) Republican</i>,"49, ",no. 21,22,February,1879,1879-02-22,4,,,,,"Council Grove, Kansas",Public domain,,,,,,,
TheDailyArgusNews1889,newspaper-article,,"""A Female Crusoe. A Woman Left Alone on an Uninhabited Island for Fifteen Years,""",Female Crusoe. A Woman Left Alone on an Uninhabited Island for Fifteen Years,<i>Crawfordsville (IN) Daily Argus News</i>,"7,",no. 283,2,April,1889,1889-04-02,4,,,,,"Crawfordsville, Indiana",Public domain,,,,,,,
TheDailyBee1885,newspaper-article,"[Fred Spalding Witter],","""A Feminine Crusoe. Eighteen Years on a Desert Island—How She Lived and Dressed,""",Feminine Crusoe. Eighteen Years on a Desert Island—How She Lived and Dressed,<i>Omaha (NE) Daily Bee</i>,,no. 236,22,May,1885,1885-05-22,7,Bee,,,,"Omaha, Nebraska",Public domain,,,,,,,
TheDailyCourierGazette1921,newspaper-article,,"""Alone For Eighteen Years. Indian Woman, Abandoned on Desert Island, Finally Found by Party of Otter Hunters,"" ","Alone For Eighteen Years. Indian Woman, Abandoned on Desert Island, Finally Found by Party of Otter Hunters",<i>McKinney (TX) Daily Courier-Gazette</i>,24,,4,July,1921,1921-07-04,3,,,,,"McKinney, Texas",Public domain,,,,,,,
TheDailyDemocrat1891_Feb10,newspaper-article,,"""A Female Crusoe. A Woman Left Alone on an Uninhabited Island for Fifteen Years,"" ",Female Crusoe. A Woman Left Alone on an Uninhabited Island for Fifteen Years ,<i>Huntington (IN) Daily Democrat</i>,"5, ",no. 264,10,February,1891,1891-02-10,2,,,,,"Huntington, Indiana",Public domain,,,,,,,
TheDailyDemocrat1891_Feb7,newspaper-article,,"""A Female Crusoe. A Woman Left Alone on an Uninhabited Island for Fifteen Years,"" ",Female Crusoe. A Woman Left Alone on an Uninhabited Island for Fifteen Years ,<i>Huntington (IN) Daily Democrat</i>,"5, ",no. 262,7,February,1891,1891-02-07,1,,,,,"Huntington, Indiana",Public domain,,,,,,,
TheDailyHerald1853,newspaper-article,"C.,","""Correspondence of the Herald,"" ",Correspondence of the Herald ,<i>Newburyport (MA) Daily Herald</i>,"22, ",no. 94,20,October,1853,1853-10-20,2,,,,,"Newburyport, Massachusetts",Public domain,,,,,,,
TheDailyNews1907,newspaper-article,,"""San Nicolas Island Held Indians Once. Now It is an Enigma of the Great Pacific. On This Barren, Wave Swept Sand Dune Are Mounds of Shells and Bones and Stone Implements, Monuments of Lost Race of Ancients,"" ","San Nicolas Island Held Indians Once. Now It is an Enigma of the Great Pacific. On This Barren, Wave Swept Sand Dune Are Mounds of Shells and Bones and Stone Implements, Monuments of Lost Race of Ancients",<i>Batavia (NY) Daily News</i>,"29, ",no. 8869,27,April,1907,1907-04-27,5,,,,,"Batavia, New York",Public domain,,,,,,,
TheDailyPicayune1885,newspaper-article,"[Fred Spalding Witter],","""A Feminine Crusoe. Eighteen Years on a Desert Island—How She Lived and Dressed,"" ",Feminine Crusoe. Eighteen Years on a Desert Island—How She Lived and Dressed ,<i>New Orleans Daily Picayune</i>,"49, ",no. 119,23,May,1885,1885-05-23,8,,,,,"New Orleans, Louisiana",Public domain,,,,,,,
TheDailyStar1930,newspaper-article,,"""Woman 'Crusoe' Lived 20 Years on Island,""",Woman Crusoe Lived 20 Years on Island,<i>Queens (NY) Daily Star</i>,"54,",,22,March,1930,1930-03-22,13,,,,,"Queens, New York","Defunct, so Y
 http://chroniclingamerica.loc.gov/lccn/sn84027443/",,,,,,,
TheDearbornIndependent1920,newspaper-article,,"""Homes of Prehistoric Folk to Be Explored,"" ",Homes of Prehistoric Folk to Be Explored,<i>Dearborn (MI) Independent</i>,,,31,July,1920,1920-07-31,11,,,,,"Dearborn, Michigan",Public domain,,,,,,,
TheDemocraticPress1887,newspaper-article,,"""A Mountain Mystery,""",Mountain Mystery,<i>Ravenna (OH) Democratic Press</i>,19,"no. 30
",3,March,1887,1887-03-03,4,,,,,"Ravenna, Ohio",,,,,,,,
TheDeseretEveningNews1900,newspaper-article,,"""An Isle of Skulls. California Islands That Were Once Inhabited by a Race Now Extinct—Awful Desolation of Spot Which Once Supported Life,"" ",Isle of Skulls. California Islands That Were Once Inhabited by a Race Now Extinct—Awful Desolation of Spot Which Once Supported Life ,<i>Salt Lake City Deseret Evening News</i>,"52,",no. 16,8,December,1900,1900-12-08,24,,,,,"Salt Lake City, Utah",Public domain,,,,,,,
TheEastHamptonStar1893,newspaper-article,"[Edwards Roberts],","""A Female Crusoe,"" ",Female Crusoe ,<i>East-Hampton (NY) Star</i>,"8, ",no. 37,25,August,1893,1893-08-25,3,,,,,"East Hampton, New York",Public domain,,,,,,,
TheEastHamptonStar1921,newspaper-article,,"""Alone for Eighteen Years. Indian Woman, Abandoned on Desert Island, Finally Found by Party of Otter Hunters,"" ","Alone for Eighteen Years. Indian Woman, Abandoned on Desert Island, Finally Found by Party of Otter Hunters",<i>East-Hampton (NY) Star</i>,"36, ",no. 41,25,August,1921,1921-08-25,8,,,,,"East Hampton, New York",Public domain,,,,,,,
TheEveningGazette1921,newspaper-article,,"""Alone for Eighteen Years. Indian Woman, Abandoned on Desert Island, Finally Found by Party of Otter Hunters,"" ","Alone for Eighteen Years. Indian Woman, Abandoned on Desert Island, Finally Found by Party of Otter Hunters",<i>Port Jervis (NY) Evening Gazette</i>,"53, ",no. 64,6,July,1921,1921-07-06,3,,,,,"Port Jervis, New York",Public domain,,,,,,,
TheEveningNews1921,newspaper-article,,"""Alone for Eighteen Years. Indian Woman, Abandoned on Desert Island, Finally Found by Party of Otter Hunters,"" ","Alone for Eighteen Years. Indian Woman, Abandoned on Desert Island, Finally Found by Party of Otter Hunters",<i>North Tonawanda (NY) Evening News</i>,,,15,July,1921,1921-07-15,2,,,,,"North Tonawanda, New York",Public domain,,,,,,,
TheEveningStar1885,newspaper-article,"[Fred Spalding Witter],","""A Feminine Crusoe. Eighteen Years on a Desert Island—How She Lived and Dressed,""",Feminine Crusoe. Eighteen Years on a Desert Island—How She Lived and Dressed,<i>Washington (DC) Evening Star</i>,"66,",no. 100003,20,May,1885,1885-05-20,2,Evening Star Newspaper,,,,"Washington, DC",Public domain,,,,,,,
TheEveningStar1892,newspaper-article,,"""The Isle of Skulls. A Woman's Lonely Life Surrounded by the Bones of Her Tribe,""",Isle of Skulls. A Womans Lonely Life Surrounded by the Bones of Her Tribe,<i>Washington (DC) Evening Star</i>,80,no. 20212,19,March,1892,1892-03-19,9,,,,,"Washington, DC",,,,,,,,
TheEveningTelegram1885,newspaper-article,"[Fred Spalding Witter],","""A Female Robinson Crusoe. Eighteen Years on a Desert Island—How She Lived and Dressed,"" ",Female Robinson Crusoe. Eighteen Years on a Desert Island—How She Lived and Dressed ,<i>New York Evening Telegram</i>,"18,",no. 6128,20,May,1885,1885-05-20,3,,,,,"New York, New York",Public domain,,,,,,,
TheFayettevilleBulletin1921,newspaper-article,,"""Alone for Eighteen Years. Indian Woman, Abandoned on Desert Island, Finally Found by Party of Otter Hunters,"" ","Alone for Eighteen Years. Indian Woman, Abandoned on Desert Island, Finally Found by Party of Otter Hunters",<i>Fayetteville (NY) Bulletin</i>,"26, ",no. 30,29,July,1921,1921-07-29,3,,,,,"Fayetteville, New York",Public domain,,,,,,,
TheFresnoRepublican1880,newspaper-article,"[Emma C. Hardacre],","""A Female Robinson Crusoe,"" ",Female Robinson Crusoe ,<i>Fresno (CA) Republican</i>,"5, ",no. 2,25,September,1880,1880-09-25,1,,,,,"Fresno, California",Public domain,,,,,,,
TheGalvestonDailyNews1933,newspaper-article,,"""Charming Visitor to be Honored this Afternoon,""",Charming Visitor to be Honored this Afternoon,<i>Galveston (TX) Daily News</i>,,,16,December,1933,1933-12-16,5,,,,,"Galveston, Texas","Permission granted for Galveston Daily News. 

email Sara-->Rachel 2 Oct 2014",,"The following MUST APPEAR at the end of the article.  The best way to do this, I think, is to add it at the very end of the transcription.
 
 ""Copyright 2013 The Galveston County Daily News. Republished with permission of The Galveston County Daily News. No further republication or redistribution is permitted w/o the written consent of The Daily News."" [See website: http://www.galvestondailynews.com/site/reprints.html]",Copyright 2013 The Galveston County Daily News. Republished with permission of The Galveston County Daily News. No further republication or redistribution is permitted w/o the written consent of The Daily News.,,,,
TheGazette1879,newspaper-article,,"""A Female Robinson Crusoe,""",Female Robinson Crusoe,<i>Montreal (CAN) Gazette</i>,"108,",no. 105,3,May,1879,1879-05-03,6,,,,,"Montreal, Québec, Canada",Public domain,,,"Under most circumstances, materials published in France, Germany, or Russia enter the public domain 70 years after the death of their author, and material published in Canada 50 after the death of their author. If re-publishing, quoting from, or reproducing images from this digital archive with original publication in France, Germany, Russia, or Canada, we request that you cite it as follows: Lone Woman and Last Indians Digital Archive, University of South Carolina, https://www.nps.gov/books/island-of-the-blue-dolphins/index.htm. 

Responsibility for any use of the contents of the Lone Woman and Last Indians Digital Archive rests exclusively with the user.",,,,
TheGazetteTimes1906,newspaper-article,,"""The Lost Race of San Nicolas,""",Lost Race of San Nicolas,<i>Pittsburgh Gazette Times</i>,"121, ",no. 15,12,August,1906,1906-08-12,"Home Journal & Fiction Magazine, 5",,,,,"Pittsburgh, Pennsylvania",Public domain,,,,,,,
TheGoulburnHerald1857,newspaper-article,"C. J. W. Russell,","""A California Crusoe,""",California Crusoe,<i>Goulburn (AUS) Herald and County of Argyle Advertiser</i>,9,"no. 502
",5,December,1857,1857-12-05,"Supplement, 6",,,,,"Goulburn, New South Wales, Australia",,,,"Australian periodicals published in this archive were found via the National Library of Australia’s Trove project: http://trove.nla.gov.au. If re-publishing, quoting from, or reproducing images from this digital archive with original publication in Australia, we request that you cite the original source provided via Trove, as well as the Lone Woman and Last Indians Digital Archive (Lone Woman and Last Indians Digital Archive, University of South Carolina, https://www.nps.gov/subjects/islandofthebluedolphins/index.htm). Information about Australia copyright law, including fair use, can be found here: http://www.nla.gov.au/copyright-in-library- collections. 

Responsibility for any use of the contents of the Lone Woman and Last Indians Digital Archive rests exclusively with the user.",,,,
TheGoulburnHeraldAndChronicle1879,newspaper-article,,"""A Female Crusoe,""",Female Crusoe,<i>Goulburn (AUS) Herald and Chronicle</i>,,,19,May,1879,1879-05-19,4,,,,,"Goulburn, New South Wales, Australia",,,,"Australian periodicals published in this archive were found via the National Library of Australia’s Trove project: http://trove.nla.gov.au. If re-publishing, quoting from, or reproducing images from this digital archive with original publication in Australia, we request that you cite the original source provided via Trove, as well as the Lone Woman and Last Indians Digital Archive (Lone Woman and Last Indians Digital Archive, University of South Carolina, https://www.nps.gov/subjects/islandofthebluedolphins/index.htm). Information about Australia copyright law, including fair use, can be found here: http://www.nla.gov.au/copyright-in-library- collections. 

Responsibility for any use of the contents of the Lone Woman and Last Indians Digital Archive rests exclusively with the user.",,,,
TheIndianaStateSentinel1885,newspaper-article,"[Fred Spalding Witter],","""The Lost Woman of San Nicolas. One of the Strange Stories of Santa Barbara, California,""","Lost Woman of San Nicolas. One of the Strange Stories of Santa Barbara, California",<i>Indiana State Sentinel</i>,31,no. 19,10,June,1885,1885-06-10,5,,,,,"Indianapolis, Indiana",,,,,,,,
