"NOTE

The tab ""DocumentGroups"" was built to display document groups. This tab explains all document relationships as determined by Sara and Rachel as of November 2017.

There are a few document groups included on this tab that are not and should not appear on the ""DocumentGroups"" tab or the website because, for instance, one document responds to another doesn't fit any of the following categories: a reprint/paraphrase/truncation.  It just references or responds to another document.  An example: Yates1892_29Feb responds to Miller1891 but does not reprint/paraphrase/truncate any of the actual content in Miller 1891 ",Document Key of Original,Document Key of Reprint/Related,Document Key of Reprint/Related,Document Key of Reprint/Related,Document Key of Reprint/Related,Document Key of Reprint/Related,Document Key of Reprint/Related,Publication Date,"Relationship notes 


(Direct reprints, Paraphrase, References, Quotes, Truncated reprint)


*""Direct reprints"" can (and often do) differ typographically but not by content, including minor changes of wording","Author Attribution Provided?

Quotation marks only used to indicate reprinted text when noted","References to Additional Sources?

Quotation marks only used to indicate reprinted text when noted","Publication Attribution Provided for reprinted/related copy?

Quotation marks only used to indicate reprinted text when noted"
,,,TheBruceHerald1884,,,,,7/11/1884,"Direct reprint of TheTimes1879
(Based on SanFranciscoChronicle1879)
References San Francisco Call (see StillSearching)",N,N,Y--San Francisco Call (see StillSearching)
,,,,,,,,,,,,
,,,,,,,,,,,,
Hardacre1880_SM & reprints/related,Hardacre1880_SM,,,,,,,5/1/1880,,,,
,,Hardacre1880_TBC,,,,,,9/1/1880,Direct reprint of Hardacre1880_SM,N,N,N
,,Hardacre1880_WE,,,,,,9/2/1880,Direct reprint of Hardacre1880_SM,N,N,N
,,Hardacre1880_VP,,,,,,9/10/1880,Direct reprint of Hardacre1880_SM,Y--Hardacre,N,Y--Hardacre1880_SM
,,Hardacre1880_TTDT,,,,,,9/11/1880,Direct reprint of Hardacre1880_SM,N,N,Y--Hardacre1880_SM
,,Hardacre1880_THR,,,,,,9/16/1880,Truncated reprint of Hardacre1880_SM--38 paragraphs reprinted w/ scattered sentences missing,N,N,Y--Hardacre1880_SM
,,Hardacre1880_TH,,,,,,9/18/1880,Direct reprint of Hardacre1880_THR,N,N,Y--Hardacre1880_SM
,,TheFresnoRepublican1880,,,,,,9/25/1880,Paraphrases Hardacre1880_SM,N,N,Y--Hardacre1880_SM
,,TheRiverineGrazier1880,,,,,,12/29/1880,Direct reprint of Hardacre1880_SM,N,N,Y--Hardacre1880_SM
,,Hardacre1881_ODH16(92),,,,,,1/25/1881,Direct reprint of (first installment of) Hardacre1880_SM,N,N,N
,,Hardacre1881_ODH16(93),,,,,,1/26/1881,Direct reprint of (second installment of) Hardacre1880_SM,N,N,Y--Hardacre1880_SM
,Wrexham (Wales) Advertiser (see StillSearching),,,,,,,,,,,
,,Rawlins1881_Jul27,,,,,,7/27/1881,Based on Hardacre1880_SM,Y-Rawlins,N,Y-Wrexham (Wales) Advertiser (see StillSearching)
,,,Rawlins1881_Nov17,,,,,11/17/1881,Direct reprint of Rawlins1881_Jul27,Y-Rawlins,N,Y-Wrexham (Wales) Advertiser (see StillSearching)
,,Paul1897,,,,,,2/21/1897,Paraphrases portions of Hardacre1880_SM--w/ new copy,Y--Paul,N,N
,,DavenportMorningTribune1889,,,,,,3/28/1889,"Paraphrases Hardacre1880_SM

References San Francisco Chronicle",N,Y--Misattribution to San Francisco Chronicle,Y--Misattribution to San Francisco Chronicle
,,,AlexandriaGazette1889,,,,,7/18/1889,"Direct reprint of DavenportMorningTribune1889
(Paraphrases Hardacre1880_SM
References San Francisco Chronicle)",N,Y--Misattribution to San Francisco Chronicle,Y--Misattribution to San Francisco Chronicle
,,,TheDailyDemocrat1891_Feb7,,,,,2/7/1891,"Direct reprint of DavenportMorningTribune1889
(Paraphrases Hardacre1880_SM
References San Francisco Chronicle)",N,N,N
,,,TheDailyDemocrat1891_Feb10,,,,,2/10/1891,"Direct reprint of DavenportMorningTribune1889
(Paraphrases Hardacre1880_SM
References San Francisco Chronicle)",N,N,N
,,,TheDailyArgusNews1889,,,,,4/2/1889,"Direct reprint of DavenportMorningTribune1889
(Paraphrases Hardacre1880_SM
References San Francisco Chronicle)",N,N,N
,,,,,,,TheTidings1904_Sep16,9/16/1904,Direct reprint of (first part of) Hardacre1880_SM,N,N,N
,,,,,,,TheTidings1904_Sep23,9/23/1904,Direct reprint of (second part of) Hardacre1880_SM,N,N,"Y--TheTidings1904_Sep16
Y--TheTidings1904_Sep30"
,,,,,,,TheTidings1904_Sep30,9/30/1904,Direct reprint of (third part of) Hardacre1880_SM,,,Y--TheTidings1904_Sep23
,,,Paul1911,,,,,7/15/1911,"Paraphrased and trucated reprint of Paul1897--19 paragraphs reprinted w/ scattered paraphrased clauses, w/ new introduction",Y--Paul,N,N
,,,MorningTribune1913,,,,,1/2/1913,Paraphrases (extensively) portions of Hardacre1880_SM or Paul1897,N,N,N
,,Woodward1930,,,,,,2/1/1930,Borrows from Hardacre1880_SM (uses as source),Y--Woodward,N,N
,,,Woodward1931,,,,,3/1/1931,"Direct reprint of Woodward1930--13 paragraphs reprinted w/ paraphrased clauses, w/o first paragraph, w/o last sentence",Y--Woodward,N,Y--Woodward1930
,,Bennett1936,,,,,,8/9/1936,Paraphrases Hardacre1880_SM w/ some new copy,Y--Bennett,N,N
,,Hardacre1950,,,,,,1/1/1950,Direct reprint of Hardacre1880_SM,Y--Hardacre,N,N
,,Hardacre1961,,,,,,6/20/1961,Direct reprint of Hardacre1880_SM,Y--Hardacre,N,N
,,Hardacre1966,,,,,,1/1/1966,Direct reprint of Hardacre1880_SM,Y--Hardacre,N,N
,,HeizerWhipple1971,,,,,,1/1/1971,Direct reprint of Hardacre1880_SM,"Y--Hardacre, HeizerElsasser, O'Dell",N,"Y--Hardacre1880_SM, Hardacre1961, O'Dell IotBD"
,,,,,,,,,,,,
,,,,,,,,,,,,
TheYouthsCompanion1880 & reprints/related,TheYouthsCompanion1880,,,,,,,9/30/1880,,,,
,,TheOsageCityFreePress1880,,,,,,11/4/1880,Direct reprint of TheYouthsCompanion1880,N,N,N
,,TheSarniaObserver1898,,,,,,2/4/1898,Direct reprint of TheYouthsCompanion1880,N,N,Y--TheYouthsCompanion1880
,,,,,,,,,,,,
,,,,,,,,,,,,
Terry1882 & reprints/related,Terry1882,,,,,,,3/16/1882,,,,
,Mason1883,,,,,,,1/1/1883,,,,
,,TheEveningPost1896,,,,,,7/25/1896,"Paraphrases (Nidever, quoted in) Mason1883--w/ new copy",N,N,N
,,Rust1897,,,,,,1/1/1897,Quotes (Nidever in) Terry1882,"Y--Misattribution to D. W. Thompson, actually Terry1882","Y--Misattribution to D. W. Thompson, actually Terry1882","Y--Misattribution to D. W. Thompson, actually Terry1882"
,,Holder1910,,,,,,5/21/1910,Quotes (Dittman in) Terry1882 ,"Y--Terry1882
""Nidever's account, ""The statement of Brown is as follows""","Y--Terry1882
""Nidever's account, ""The statement of Brown is as follows""","Y--Terry1882
""Nidever's account, ""The statement of Brown is as follows"""
,,McGroarty1911,,,,,,8/8/1911,References singular detail (shade for baby otter)--w/o attribution to Terry1882 or Holder1910,N,N,N
,,,Sheridan1925,,,,,1/1/1925,"Quotes (Nidever, quoted in) Mason1883
Direct reprint of TheEveningPost1896--w/ new copy, truncated sections, different introduction

Includes detail about BUrton/Sparks/SP before going to SNI, like Hardacre1880_AM--includes words like Hardacre1880_SM, Hardacre1880_SM is a source doc for this but isn't close enough to be included in that tree",Y--Sheridan,N,N
,,,Sheridan1927_21(33),,,,,8/10/1927,Direct reprint of (first installment of) Sheridan1925,Y--Sheridan,N,N
,,,Sheridan1927_21(34),,,,,8/11/1927,Direct reprint of (second installment of) Sheridan1925,Y--Sheridan,N,N
,,,Mason1961,,,,,6/10/1961,Direct reprint of Mason1883,N,N,N--Mason1883
,,,Mason1966,,,,,1/1/1966,Direct reprint of Mason1883,N,N,N--Mason1883
,,,Harrigan1998,,,,,1/1/1998,References singular detail (shade for baby otter)--w/o attribution to Terry1882 or Holder1910,N,N,N
,,,,,,,,,,,,
,,,,,,,,,,,,
Witter1885_DAC & reprints/related,Witter1885_DAC,,,,,,,3/29/1885,,,,
,,TheTimes1885,,,,,,5/16/1885,Truncated reprint of Witter1885_DAC--5 paragraphs reprinted w/ new introduction,N,N,Y--Witter1885_DAC
,,,CincinnatiCommercialTribune1885,,,,,5/18/1885,"Direct reprint of TheTimes1885
(Truncated reprint of Witter1885_DAC--5 paragraphs reprinted w/ new introduction)",N,N,Y--Witter1885_DAC
,,,TheBostonWeeklyGlobe1885,,,,,5/19/1885,"Direct reprint of TheTimes1885
(Truncated reprint of Witter1885_DAC--5 paragraphs reprinted w/ new introduction)",N,N,Y--Witter1885_DAC
,,,StLouisGlobeDemocrat1885,,,,,5/19/1885,"Direct reprint of TheTimes1885
(Truncated reprint of Witter1885_DAC--5 paragraphs reprinted w/ new introduction)",N,N,N
,,,Witter1885_TAC,,,,,5/20/1885,"Direct reprint of TheTimes1885
(Truncated reprint of Witter1885_DAC--5 paragraphs reprinted w/ new introduction)",N,N,Y--Witter1885_DAC
,,,TheEveningStar1885,,,,,5/20/1885,"Direct reprint of TheTimes1885
(Truncated reprint of Witter1885_DAC--5 paragraphs reprinted w/ new introduction)",N,N,Y--Witter1885_DAC
,,,,TheEveningTelegram1885,,,,5/20/1885,"Truncated reprint of TheTimes1885
(Truncated reprint of Witter1885_DAC--4 paragraphs reprinted w/ new introduction)",N,N,Y--Witter1885_DAC
,,,,ChristianUnion1885,,,,5/21/1885,"Truncated reprint of TheTimes1885--3 paragraphs paraphrased, 2 paragraphs reprinted w/ quotation marks and some sentences paraphrased",N,N,Y--Witter1885_DAC
,,,BangorDailyWhigAndCourier1885,,,,,5/21/1885,"Direct reprint of TheTimes1885
(Truncated reprint of Witter1885_DAC--5 paragraphs reprinted w/ new introduction)",N,N,Y--Witter1885_DAC
,,,RockyMountainNews1885,,,,,5/22/1885,"Direct reprint of TheTimes1885
(Truncated reprint of Witter1885_DAC--5 paragraphs reprinted w/ new introduction)",N,N,N
,,,TheDailyBee1885,,,,,5/22/1885,"Direct reprint of TheTimes1885
(Truncated reprint of Witter1885_DAC--5 paragraphs reprinted w/ new introduction)",N,N,N
,,,TheDailyPicayune1885,,,,,5/23/1885,"Direct reprint of TheTimes1885
(Truncated reprint of Witter1885_DAC--5 paragraphs reprinted w/ new introduction)",N,N,"Y--Witter1885_DAC
""San Francisco Correspondence [of the Rochester Democrat]"""
,,,StLouisPostDispatch1885,,,,,5/23/1885,"Direct reprint of TheTimes1885
(Truncated reprint of Witter1885_DAC--5 paragraphs reprinted w/ new introduction)",N,N,Y--Witter1885_DAC
,,,HeraldAndTribune1885,,,,,5/28/1885,"Direct reprint of TheTimes1885
(Truncated reprint of Witter1885_DAC--5 paragraphs reprinted w/ new introduction)",N,N,N
,,,AugustaChronicle1885,,,,,5/29/1885,"Direct reprint of TheTimes1885
(Truncated reprint of Witter1885_DAC--5 paragraphs reprinted w/ new introduction)",N,N,N
,,,TheTelegraphAndMessenger1885,,,,,5/29/1885,"Direct reprint of TheTimes1885
(Truncated reprint of Witter1885_DAC--5 paragraphs reprinted w/ new introduction)",N,N,Y--Witter1885_DAC
,,,,,TheBathPlaindealer1885,,,6/6/1885,"Direct reprint of ChristianUnion1885
(Truncated reprint of TheTimes1885--3 paragraphs paraphrased, 2 paragraphs reprinted w/ quotation marks and some sentences paraphrased)",N,N,Y--Witter1885_DAC
,,,GalvestonDailyNews1885,,,,,6/7/1885,"Direct reprint of TheTimes1885
(Truncated reprint of Witter1885_DAC--5 paragraphs reprinted w/ new introduction)",N,N,N
,,,,TheIndianaStateSentinel1885,,,,6/10/1885,Truncated reprint of TheTimes1885--final 2 paragraphs reprinted w/ summary introductory paragraph,N,N,N
,,,TheKansasCityEveningStar1885,,,,,6/10/1885,"Direct reprint of TheTimes1885
(Truncated reprint of Witter1885_DAC--5 paragraphs reprinted w/ new introduction)",N,N,Y--Witter1885_DAC
,,,NewHampshireSentinel1885,,,,,6/10/1885,"Direct reprint of TheTimes1885
(Truncated reprint of Witter1885_DAC--5 paragraphs reprinted w/ new introduction)",N,N,Y--Witter1885_DAC
,,,WeeklyNewsAndDemocrat1885,,,,,6/11/1885,"Direct reprint of TheTimes1885
(Truncated reprint of Witter1885_DAC--5 paragraphs reprinted w/ new introduction)",N,N,N
,,,UticaObserver1885,,,,,6/13/1885,"Direct reprint of TheTimes1885
(Truncated reprint of Witter1885_DAC--5 paragraphs reprinted w/ new introduction)",N,N,Y--Witter1885_DAC
,,,TheAmsterdamDailyDemocrat1885,,,,,6/17/1885,"Direct reprint of TheTimes1885
(Truncated reprint of Witter1885_DAC--5 paragraphs reprinted w/ new introduction)",N,N,Y--Witter1885_DAC
,,,TheTopekaDailyCapital1885,,,,,6/17/1885,"Direct reprint of TheTimes1885
(Truncated reprint of Witter1885_DAC--5 paragraphs reprinted w/ new introduction)",N,N,Y--Witter1885_DAC
,,,OswegoTimesExpress1885,,,,,6/18/1885,"Direct reprint of TheTimes1885
(Truncated reprint of Witter1885_DAC--5 paragraphs reprinted w/ new introduction)",N,N,Y--Witter1885_DAC
,,,,NewsAndCitizen1885,,,,6/25/1885,Truncated reprint of TheTimes1885--final 2 paragraphs reprinted w/ summary introductory paragraph,N,N,Y--Witter1885_DAC
,,,CortlandNews1885,,,,,6/26/1885,"Direct reprint of TheTimes1885
(Truncated reprint of Witter1885_DAC--5 paragraphs reprinted w/ new introduction)",N,N,N
,,,MadisonCountyTimes1885,,,,,6/26/1885,"Direct reprint of TheTimes1885
(Truncated reprint of Witter1885_DAC--5 paragraphs reprinted w/ new introduction)",N,N,N
,,,BismarckDailyTribune1885,,,,,6/28/1885,"Direct reprint of TheTimes1885
(Truncated reprint of Witter1885_DAC--5 paragraphs reprinted w/ new introduction)",N,N,Y--Witter1885_DAC
,,,,TheDawn1881,,,,7/1/1895,Truncated reprint of TheTimes1885--final 2 paragraphs reprinted w/ summary introductory paragraph,N,N,N
,,,CambriaFreeman1885,,,,,7/3/1885,"Direct reprint of TheTimes1885
(Truncated reprint of Witter1885_DAC--5 paragraphs reprinted w/ new introduction)",N,N,Y--Witter1885_DAC
,,,SaltLakeEveningDemocrat1885,,,,,7/14/1885,"Direct reprint of TheTimes1885
(Truncated reprint of Witter1885_DAC--5 paragraphs reprinted w/ new introduction)",N,N,N
,,,ReadingTimes1885,,,,,8/1/1885,"Direct reprint of TheTimes1885
(Truncated reprint of Witter1885_DAC--5 paragraphs reprinted w/ new introduction)",N,N,Y--Witter1885_DAC
,,,,,,,,,,,,
,,,,,,,,,,,,
TheTimes1887 & reprints/related,Ventura Free Press,,,,,,,,,,,
,,TheTimes1887,,,,,,1/7/1887,,,,
,,,TheOmahaDailyBee1887,,,,,2/9/1887,Direct reprint of TheTimes1887,N,N,Y--Ventura Free Press
,,,TheRecorder1887,,,,,2/11/1887,Direct reprint of TheTimes1887,N,N,Y--Ventura Free Press
,,,,FortWorthDailyGazette1887,,,,2/15/1887,"DROPS THE LW MENTION, KEPT IN PER SARA'S INSTRUCTIONS",N,N,Y--Ventura Free Press
,,,MexicoWeeklyLedger1887,,,,,2/17/1887,Direct reprint of TheTimes1887,N,N,Y--Ventura Free Press
,,,SundayGlobe1887,,,,,2/27/1887,Direct reprint of TheTimes1887,N,N,Y--Ventura Free Press
,,,GalvestonDailyNews1887,,,,,2/27/1887,"DROPS THE LW MENTION, KEPT IN PER SARA'S INSTRUCTIONS",N,N,Y--Ventura Free Press
,,,TheDemocraticPress1887,,,,,3/3/1887,Direct reprint of TheTimes1887,N,N,Y--Ventura Free Press
,,,,TheWorthingtonAdvance1887,,,,3/24/1887,"DROPS THE LW MENTION, KEPT IN PER SARA'S INSTRUCTIONS",N,N,Y--Ventura Free Press
,,,TheBarberCountyIndex1887,,,,,3/30/1887,Direct reprint of TheTimes1887,N,N,Y--Ventura Free Press
,,,,,,,,,,,,
,,,,,,,,,,,,
TheWeeklyFreePress1891 & reprints/related,TheWeeklyFreePress1891,,,,,,,8/28/1891,,,,
,,LosAngelesHerald1891,,,,,,8/31/1891,Direct reprint of TheWeeklyFreePress1891,N,N,N
,,,ChicagoDailyTribune1891,,,,,10/5/1891,"Truncated reprint of TheWeeklyFreePress1891--2 paragraphs reprinted, 1 paragraph paraphrased",N,N,Y-TheWeeklyFreePress1891
,,,,,,,,,,,,
,,,,,,,,,,,,
Blanco1882_TIS & reprints/related,Blanco1882_TIS,,,,,,,2/12/1892,,,,
,,Blanco1882,,,,,,2/23/1892,"Truncated reprint of Blanco1882_TIS--everything reprinted except one half of a long paragraph, which is paraphrased down to one sentence (about Spanish saddles)",N,N,Y--Blanco1882_TIS
,,,,,,,,,,,,
,,,,,,,,,,,,
Miller1891 & reprints/related,Miller1891,,,,,,,4/26/1981,,,,
,,Yates1892_29Feb,,,,,,2/29/1892,Responds to Miller1891,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
SanFranciscoExaminer1892 & reprints/related,SanFranciscoExaminer1892,,,,,,,2/27/1892,,,,
,,IllustratedAmerican1892,,,,,,4/9/1892,"Rearranged, paraphrased reprint of SanFranciscoExaminer1892 (same paragraphs and sentences, presented in a different order)",N,N,N
,,TheMorningPress1892,,,,,,3/1/1892,Direct reprint of SanFranciscoExaminer1892--w/ annotation,N,N,N
,,TheSun1892,,,,,,3/13/1892,Direct reprint of SanFranciscoExaminer1892,N,N,Y--SanFranciscoExaminer1892
,,TheEveningStar1892,,,,,,3/19/1892,Direct reprint of SanFranciscoExaminer1892,N,N,Y--SanFranciscoExaminer1892
,,SullivanRepublican1892,,,,,,3/25/1892,Direct reprint of SanFranciscoExaminer1892,N,N,Y--SanFranciscoExaminer1892
,,DemocratAndChronicle1892,,,,,,3/28/1892,Direct reprint of SanFranciscoExaminer1892,N,N,Y--SanFranciscoExaminer1892
,,TheSmithfieldHerald1892,,,,,,3/31/1892,Direct reprint of SanFranciscoExaminer1892,N,N,Y--SanFranciscoExaminer1892
,,ArkansasCityTraveler1892,,,,,,4/7/1892,Direct reprint of SanFranciscoExaminer1892,N,N,N
,,TheOmahaDailyBee1892,,,,,,4/11/1892,Direct reprint of SanFranciscoExaminer1892,N,N,N
,,TheStPaulDailyNews1892,,,,,,4/13/1892,Direct reprint of SanFranciscoExaminer1892,N,N,Y--SanFranciscoExaminer1892
,,ChicagoDailyTribune1892,,,,,,4/16/1892,Direct reprint of SanFranciscoExaminer1892,N,N,Y--SanFranciscoExaminer1892
,,TheWichitaDailyEagle1892,,,,,,4/26/1892,Direct reprint of SanFranciscoExaminer1892,N,N,Y--SanFranciscoExaminer1892
,,TheUpperDesMoines1892,,,,,,4/27/1892,Direct reprint of SanFranciscoExaminer1892,N,N,N
,,BismarckDailyTribune1892,,,,,,4/27/1892,Direct reprint of SanFranciscoExaminer1892,N,N,Y--SanFranciscoExaminer1892
,,CurrentLiterature1892,,,,,,5/1/1892,Direct reprint of SanFranciscoExaminer1892,N,N,Y--SanFranciscoExaminer1892
,,TimesOfIndia1892,,,,,,6/13/1892,Direct reprint of SanFranciscoExaminer1892,N,N,Y--SanFranciscoExaminer1892
,,EveningNews1892,,,,,,6/29/1892,Direct reprint of SanFranciscoExaminer1892,N,N,N
,,TheTimaruHerald1892,,,,,,7/4/1892,Direct reprint of SanFranciscoExaminer1892,N,N,Y--SanFranciscoExaminer1892
,,ThamesAdvertiser1892,,,,,,7/12/1892,"Direct reprint of SanFranciscoExaminer1892
References ""an American paper""",N,N,Y--SanFranciscoExaminer1892
,,MillennialStar1892,,,,,,8/15/1892,Direct reprint of SanFranciscoExaminer1892,N,N,Y--SanFranciscoExaminer1892
,,TheOtagoWitness1892,,,,,,8/18/1892,Direct reprint of SanFranciscoExaminer1892,N,N,N
,,,TheWesternChampion1892,,,,,9/6/1892,Truncated reprint of SanFranciscoExaminer1892--7 paragraphs reprinted,N,N,N
,,LakeWakatipMail1892,,,,,,10/28/1892,Direct reprint of SanFranciscoExaminer1892,N,N,N
,,,,,,,,,,,,
,,,,,,,,,,,,
Gibbons1893 & reprints/related,Gibbons1893,,,,,,,10/1/1893,,,,
,,NewYorkRecorder1893,,,,,,10/8/1893,Truncated reprint of Gibbons1893--16 paragraphs reprinted w/ large portions of some of those paragraphs shortened--w/ new copy at introduction,N,N,Y--Gibbons1893
,,StLouisRepublic1893,,,,,,10/14/1893,Truncated reprint of Gibbons1893--13 paragraphs reprinted w/ large portions of those paragraphs shortened--w/ new copy at introduction,N,N,"Y--Gibbons1893
Y--NewYorkRecorder1893"
,,,,,,,,,,,,
,,,,,,,,,,,,
Chicago Blade (see StillSearching) & reprints/related,Chicago Blade (see StillSearching),,,,,,,,,,,
,,Eames1892,,,,,,12/1/1892,"Eames1892 uses phrases from this, but this is the original--Eames1893 is a rewrite",,,
,,Eames1893,,,,,,3/12/1893,"Rewrite of Eames1892
References Chicago Blade",Y--Eames,N,Y--Chicago Blade
,,,TheCincinnatiEnquirer1895,,,,,4/7/1895,"Paraphrase of Eames1893--w/ additional details, arranged differently, scattered sentences and one entire paragraph copied directly",N,N,N
,,,,NewYorkTimes1895,,,,12/1/1895,"Direct reprint of TheCincinnatiEnquirer1895--w/ additional concluding paragraphs from Eames1893
(paraphrase of Eames1893, additional details and phrases, scattered sentences copied directly)",N,N,N
,,,,,TheSun1896,,,10/4/1896,"Direct reprint of NewYorkTimes1895--w/ new copy at introduction (first paragraph and a half) and scattered sentences/phrases removed
[Direct reprint of TheCincinnatiEnquirer1895--w/ additional concluding paragraphs (paraphrase of Eames1893, additional details and phrases, scattered sentences copied directly)]",N,N,N
,,,,,MorningTribune1896,,,10/7/1896,"Direct reprint of NewYorkTimes1895--w/ new copy at introduction (first paragraph and a half) and scattered sentences/phrases removed
[Direct reprint of TheCincinnatiEnquirer1895--w/ additional concluding paragraphs (paraphrase of Eames1893, additional details and phrases, scattered sentences copied directly)]",N,N,Y--TheSun1896
,,,,,SanDiegoUnion1896,,,10/18/1896,"Direct reprint of NewYorkTimes1895--w/ new copy at introduction (first paragraph and a half) and scattered sentences/phrases removed
[Direct reprint of TheCincinnatiEnquirer1895--w/ additional concluding paragraphs (paraphrase of Eames1893, additional details and phrases, scattered sentences copied directly)]",N,N,N
,,,,Los Angeles Globe-Democrat (see StillSearching),,,,,,,,
,,,,,TheCincinnatiEnquirer1897,,,5/15/1897,"Direct reprint of TheCincinnatiEnquirer1895--w/ additional concluding paragraphs from Eames1893, w/ new details in introduction
(Paraphrase of Eames1893--w/ additional details, arranged differently, scattered sentences and one entire paragraph copied directly)",N,N,Y--Los Angeles Globe-Democrat
,,,,,BuffaloCourierRecord1897,,,5/30/1897,"Direct reprint of TheCincinnatiEnquirer1895--w/ additional concluding paragraphs from Eames1893, w/ new details in introduction
(Paraphrase of Eames1893--w/ additional details, arranged differently, scattered sentences and one entire paragraph copied directly)",N,N,Y--Los Angeles Globe-Democrat
,,,,,TheBryanDailyEagle1897,,,6/26/1897,"Truncated reprint of NewYorkTimes1895--8 paragraphs reprinted w/ scattered sentences/phrases removed/paraphrased (arranged into more paragraphs)
[Direct reprint of TheCincinnatiEnquirer1895--w/ additional concluding paragraphs (paraphrase of Eames1893, additional details and phrases, scattered sentences copied directly)]",N,N,N
,,,,,,MorningOregonian1897,,7/23/1897,"Direct reprint of TheSun1896--w/ paraphrased introduction, scattered paraphrased or removed sentences
{Direct reprint of NewYorkTimes1895--w/ new copy at introduction (first paragraph and a half) and scattered sentences/phrases removed
[Direct reprint of TheCincinnatiEnquirer1895--w/ additional concluding paragraphs (paraphrase of Eames1893, additional details and phrases, scattered sentences copied directly)]}",N,N,N
,,,,TheTimes1899,,,,4/30/1899,"Direct reprint of TheCincinnatiEnquirer1895
(Paraphrase of Eames1893--w/ additional details, arranged differently, scattered sentences and one entire paragraph copied directly)",N,N,N
,,,,TheLeavenworthTimes1900,,,,12/4/1900,"Direct reprint of TheCincinnatiEnquirer1895
(Paraphrase of Eames1893--w/ additional details, arranged differently, scattered sentences and one entire paragraph copied directly)",N,N,N
,,,,TheDeseretEveningNews1900,,,,12/8/1900,"Direct reprint of TheCincinnatiEnquirer1895
(Paraphrase of Eames1893--w/ additional details, arranged differently, scattered sentences and one entire paragraph copied directly)",N,N,N
,,,,Chicago Record (see StillSearching),,,,,,,,
,,,,DemocratAndChronicle1901,,,,1/7/1901,"Direct reprint of TheCincinnatiEnquirer1895
(Paraphrase of Eames1893--w/ additional details, arranged differently, scattered sentences and one entire paragraph copied directly)",N,N,Y--Chicago Record
,,,,,,ThePittsburgPress1901,,10/12/1901,"Truncated reprint of NewYorkTimes1895--introduction paraphrased w/ additional details, 10 paragraphs reprinted w/ scattered sentences/phrases paraphrased (arranged into more paragraphs)
[Direct reprint of TheCincinnatiEnquirer1895--w/ additional concluding paragraphs (paraphrase of Eames1893, additional details and phrases, scattered sentences copied directly)]",N,N,N
,,,,,,,Tinsley1901,10/13/1901,"Direct reprint of ThePittsburgPress1901
{Truncated reprint of NewYorkTimes1895--introduction paraphrased w/ additional details, 10 paragraphs reprinted w/ scattered sentences/phrases paraphrased (arranged into more paragraphs)
[Direct reprint of TheCincinnatiEnquirer1895--w/ additional concluding paragraphs (paraphrase of Eames1893, additional details and phrases, scattered sentences copied directly)]}",Y--Tinsley,N,N
,,,,,,,TheNewYorkPress1901,10/13/1901,"Direct reprint of ThePittsburgPress1901
{Truncated reprint of NewYorkTimes1895--introduction paraphrased w/ additional details, 10 paragraphs reprinted w/ scattered sentences/phrases paraphrased (arranged into more paragraphs)
[Direct reprint of TheCincinnatiEnquirer1895--w/ additional concluding paragraphs (paraphrase of Eames1893, additional details and phrases, scattered sentences copied directly)]}",Y--Tinsley,N,N
,,,,,,,Oregonian1901,10/20/1901,"Direct reprint of ThePittsburgPress1901
{Truncated reprint of NewYorkTimes1895--introduction paraphrased w/ additional details, 10 paragraphs reprinted w/ scattered sentences/phrases paraphrased (arranged into more paragraphs)
[Direct reprint of TheCincinnatiEnquirer1895--w/ additional concluding paragraphs (paraphrase of Eames1893, additional details and phrases, scattered sentences copied directly)]}",Y--Tinsley,N,N
,,,,,,,ChicagoDailyTribune1902,3/2/1902,"Direct reprint of ThePittsburgPress1901
{Truncated reprint of NewYorkTimes1895--introduction paraphrased w/ additional details, 10 paragraphs reprinted w/ scattered sentences/phrases paraphrased (arranged into more paragraphs)
[Direct reprint of TheCincinnatiEnquirer1895--w/ additional concluding paragraphs (paraphrase of Eames1893, additional details and phrases, scattered sentences copied directly)]}",N,N,N
,,,,,,TheBrooklynDailyEagle1904,,1/10/1904,"Truncated reprint of TheCincinnatiEnquirer1897--w/ paraphrased introduction, few sentences additional commentary
[Direct reprint of TheCincinnatiEnquirer1895--w/ additional concluding paragraphs from Eames1893, w/ new details in introduction
(Paraphrase of Eames1893--w/ additional details, arranged differently, scattered sentences and one entire paragraph copied directly)]",,,
,,,,,,,ThePittsburgPress1904,2/9/1904,"Truncated reprint of TheBrooklynDailyEagle1904--4 paragraphs reprinted
{Truncated reprint of TheCincinnatiEnquirer1897--w/ paraphrased introduction, few sentences additional commentary}
[Direct reprint of TheCincinnatiEnquirer1895--w/ additional concluding paragraphs from Eames1893, w/ new details in introduction
(Paraphrase of Eames1893--w/ additional details, arranged differently, scattered sentences and one entire paragraph copied directly)]",N,N,Y--TheBrooklynDailyEagle1905
,,,,,,,ClevelandPlainDealer1904,2/14/1904,"Truncated reprint of TheBrooklynDailyEagle1904--4 paragraphs reprinted
{Truncated reprint of TheCincinnatiEnquirer1897--w/ paraphrased introduction, few sentences additional commentary}
[Direct reprint of TheCincinnatiEnquirer1895--w/ additional concluding paragraphs from Eames1893, w/ new details in introduction
(Paraphrase of Eames1893--w/ additional details, arranged differently, scattered sentences and one entire paragraph copied directly)]",N,N,Y--TheBrooklynDailyEagle1904
