Person writing,"Type

(lack of type indicates no type to be used in TEI)

This is a legacy of our early TEI. We keep this information and keep encoding it in new documents for the sake of consistency. It has no searchability or relevance and wasn't implemented rigorously. What I mean is that categories and labels aren't very good, and because of the sprawl of annotations did not end up being applied consistently.",Key,"Name

This is the title/label of the one liner and should match the text preceding the colon in the write-up itself.","Write-Up

The text preceding the colon in this column should match the text in the name/label column.","Sources & Notes

Wherever possible, the information in this column should be in the format of a citation rather than a single link. Full/formal citations are not necessary, but the goal should always be to allow someone else to follow the documentary/digital trail back to the item, whether or not its digital location has changed."
Carina,"name type=""ship""",#sh_goliah,Goliah,"<i>Goliah</i>: a steam towboat built in New York and in service between 1849-89. Also known as the <i>Defender</i>, its home port was San Francisco.","Porter, Daniel, and Dave Wright. ""Goliah (1849)."" Tugboat Information. Accessed May 09, 2016. http://www.tugboatinformation.com/tug.cfm?id=1701. "
Carina,"name type=""ship""",#sh_griffon,Griffon,"<i>Griffon</i>: a brig built in 1824 in Medford, Massachusetts, and initially purchased by Bryant and Sturgis, a Boston shipping business that traded in lumber, tea, opium, and sugar, among other goods. The <i>Griffon</i> operated on the Northwest Coast for five years.  In 1837, it was under the ownership of John Coffin Jones.","Fromm, James R. ""Early Sailing Ships Trading on the Northwest Coast of America 1788-1837."" Early Sailing Ships Of The Pacific Northwest. Accessed May 09, 2016. http://www.3rd1000.com/history3/Early%20Ships/Early%20Ships%20of%20the%20Pacific%20Northwest.htm"
Carina,"name type=""ship""",#sh_hassler,Hassler,<i>Hassler</i>: a US Coast Survey ship designed to chart the US Pacific Coast. It mapped the coast of California and its islands while in service between 1871-95.,"""The Hassler and the Triumphs and Problems of Innovation."" National Marine Sanctuaries. August 07, 2007. http://sanctuaries.noaa.gov/maritime/expeditions/hassler/innovative.html. "
Carina,"name type=""ship""",#sh_hel,Helvetius,"<i>Helvetius</i>: a trading ship built in 1804 by Frenchman Stephen Girard and then converted into a whaler. The <i>Helvetius</i> was known for the hand-carved bust of its French philosopher namesake, which was positioned at the helm of the ship. It made its first whaling voyage to the Pacific and Virgin Islands in 1832. On its return, the <i>Helvetius</i> ran aground on O’ahu island just after midnight on November 10, 1834. The ship was salvaged, but there is no record of the philosopher figurehead being recovered.","Chapin, Helen G. ""The Wreck of the Helvetius."" The Hawaiian Historical Society. June 14, 2015. Accessed February 13, 2017. https://www.hawaiianhistory.org/time-capsules/disasters/the-wreck-of-the-helvetius/.                 ""Voyages of Helvetius (Ship)."" American Offshore Whaling Voyages: A Database. 2012. Accessed February 13, 2017. http://nmdl.org/aowv/whvoyage.cfm?VesselNumber=1569."
Baseball card,"name type=""ship""",#sh_ilmena,Il'mena,"<i>Il'mena</i>: a two-masted, 200-ton copper-sheathed brig part of the Russian American Company’s sailing ships that visited the California coast on company business. Originally named the <i>Lydia</i>, the ship had been owned by a US sea captain and sold to the Russians in 1813. The following year, in its first voyage under the Russian flag, the <i>Il’mena</i> brought a sea otter hunting crew to San Nicolas Island.",
Carina,"name type=""ship""",#sh_jennie,Jennie Griffin,<i>Jennie Griffin</i>: a schooner used for sea otter hunting along the California coast for several decades.,"The Seamen's Journal, Volume 32"
Carina,"name type=""ship""",#sh_begg,John Begg,"<i>John Begg</i>: an English trading ship chartered under John Begg & Company, a firm based in Liverpool, England. William Harnell and Hugh McCulloch served as the California agents between 1822-28. After arriving in San Diego in 1822 carrying a shipment of goods from Peru, the brig struck a rock protrusion just off the coast of San Nicolas Island and was grounded in 1824. The rock was subsequently named Begg Rock.","""Begg Rock, San Nicolas Island."" Islapedia. Accessed February 9, 2017. http://islapedia.com/index.php?title=Begg_Rock,_San_Nicolas_Island.                                  Gudde, Erwin Gustav. California Place Names: The Origin and Etymology of Current Geographical Names. Los Angeles, CA: University of California Press, 1969. Accessed February 9, 2017. "
Carina,"name type=""ship""",#sh_lavictoria,La Victoria,<i>La Victoria</i>: a ship in Spanish explorer Juan Rodriguez Cabrillo’s fleet. Cabrillo was the first to explore the California coast between 1542-43.,"Timmons, Greg. ""Juan Rodriquez Cabrillo Biography."" Bio. Accessed May 16, 2016. http://www.biography.com/people/juan-rodriquez-cabrillo-090115. "
Carina,"name type=""ship""",#sh_loriot,Loriot,"<i>Loriot</i>: an American brig that traded between Spanish California and the Sandwich Islands (Hawaii) in the 1830s. In 1833, it was seized in the San Francisco port and one of its owners, Alpheus B. Thompson, was arrested for illegally hunting otter in Spanish waters along the coast of California (other part owners included Gorham Hayden Nye and John Coffin Jones). By the late 1830s, however, the brig was again trading between the Northwest Coast, California, and Hawaii; John C. Jones was the American Consul in Hawaii at the time.","Ogden, Adele. The California Sea Otter Trade 1784-1848. Berkeley: University of California Press, 1941. Mary Malloy, ""Boston Men"" on the NW Coast; The American Maritime Fur Trade, 1788-1844, p. 124-25. 3-page note sheet on Gorhan Hayden Nye provided by Linda Bentz (Chinese Historical Society of Southern California)"
Carina,"name type=""ship""",#sh_louisa,Louisa,<i>Louisa</i>: an American merchant ship (bark) owned by John Coffin Jones and involved in the Northwest fur trade along the coast of California in the 1830s.,"Ogden, Adele. The California Sea Otter Trade 1784-1848. Berkeley: University of California Press, 1941"
Carina,"name type=""ship""",#sh_mayflower,Mayflower,"<i>Mayflower</i>: a cargo ship that set sail in 1620 and carried 102 passengers from Plymouth, England, across the Atlantic to present-day Massachusetts.",
Carina,"name type=""ship""",#sh_ocain,O'Cain,"<i>O’Cain</i>: the first contracted ""Yankee-Russian"" hunting ship. Partnering with the Russian American Company, American Joseph O’Cain provided the ship while the RAC provided skilled Alaska Native hunters. The partnership enabled O’Cain to acquire furs directly, instead of trading for them along the Spanish California coast, and allowed the RAC to hunt in waters further south. The first contract was signed in 1803, and the ship continued to sail under this system until 1816.","Ogden, Adele. The California Sea Otter Trade 1784-1848. Berkeley: University of California Press, 1941"
Carina,"name type=""ship""",#sh_oajaca,Oajaca,"<i>Oajaca</i>: a brig involved in California coastal trade beginning in 1834. Previously named the <i>Bolivar Liberator</i>, it was owned by John Coffin Jones and Alpheus Basil Thompson and used in the sea otter trade.  Outgoing cargo on an 1884 sail included beef, potatoes, goat tallow, ""joints,"" and alcohol.","Ogden, Adele. The California Sea Otter Trade 1784-1848. Berkeley: University of California Press, 1941.  Ogden Mercahnt Traders, ""Vessels owned by John Coffin Jones"" lsit."
