number,publication,source_note,citation,article_id,citation_format,author,title,volume_number,issue_number,day,month,year,date,publisher,location,editor
47,Californian Illustrated Magazine,"The Californian Illustrated Magazine (1891-94) was a monthly periodical magazine founded by Charles Frederick Holder out of San Francisco, California. Its main focus was literary fiction, but the magazine also published articles on other topics, such as politics and science. It was heavily illustrated with scenes of California. Holder became the director of the Santa Catalina Zoological Station in 1894 and sold the magazine.","Frank Luther Mott, American Journalism: A History of Newspapers in the United States Through 250 Years: 1690 to 1940 (New York: Macmillan, 1941), accessed June 21, 2016, eBook. Hazel Dicken Garcia, Journalistic Standards in Nineteenth-century America (Madison, University of Wisconsin Press, 1989), accessed June 21, 2016, eBook.",Holder1892,newspaper-article,"Holder, Charles Frederick.","""A Four-In-Hand In Southern California.""","1,",1,,March,1892,,,"San Francisco, California",
47,Californian Illustrated Magazine,"The Californian Illustrated Magazine (1891-94) was a monthly periodical magazine founded by Charles Frederick Holder out of San Francisco, California. Its main focus was literary fiction, but the magazine also published articles on other topics, such as politics and science. It was heavily illustrated with scenes of California. Holder became the director of the Santa Catalina Zoological Station in 1894 and sold the magazine.","Frank Luther Mott, American Journalism: A History of Newspapers in the United States Through 250 Years: 1690 to 1940 (New York: Macmillan, 1941), accessed June 21, 2016, eBook. Hazel Dicken Garcia, Journalistic Standards in Nineteenth-century America (Madison, University of Wisconsin Press, 1989), accessed June 21, 2016, eBook.",Gibbons1893,magazine-article,"Gibbons, James M.","""The Wild Woman of San Nicolas.""",4,5,,October,1893,1893-10-01,,N/A?,
49,Cambridge (MA) Chronicle,"The Cambridge Chronicle (1846-present) is a weekly newspaper out of Cambridge, Massachusetts; it was founded by Andrew Reid three days after the town, located just north of Boston, was incorporated into a city. Reid was in charge of the paper for only a few months before his health failed and John Ford took over. Cambridge was an industrial city in the 1850s, with factories producing including soap and glassware; its population was about 15,000. Home to Harvard University since the 17th century, Cambridge would also become the site of the Massachusetts Institute of Technology (MIT) in 1861. A yearly subscription of the Chronicle was cost $2 in 1854.","""About Cambridge chronicle. (Cambridge, Md.) 1828-1855),"" Chronicling America, accessed February 9, 2016.
Cambridge Chronicle, October 8, 1921, accessed February 9, 2016, PDF. ""The Founder And Three Editors of The Cambridge Chronicle,"" The Cambridge Historical Society, last updated April 1, 2014, accessed February 9, 2016.  The Massachusetts Register and United States Calendar for the Year of Our Lord 1854 (Boston: George Adams, 1854), accessed February 9, 2016, eBook. U.S. Census Bureau, ""1850 Census,"" accessed February 9, 2016, PDF.",CambridgeChronicle1853,newspaper-article,,"""A Female Robinson Crusoe.""","8,",46,12,November,1853,1853-11-12,Andrew Reid,"Cambridge, Massachusetts",
50,Canonsburg (PA) Notes,"The Canonsburg Notes (1875-1980) was a newspaper founded by Fulton Phillips out of Canonsburg, Pennsylvania; it was originally a weekly called the Rural Notes, but went through many name changes including the Daily Notes and the Chartiers Valley Notes. D. H. Fee and his brother William bought the paper in 1882, and introduced the daily edition in 1894. The Canonsburg Notes had a weekly circulation of 1,112 in 1900. Canonsburg (pop. 2,714 in 1900) and was known for coal mining and is located just southwest of Pittsburgh.","""About The daily notes. (Canonsburg, Pa.) 1903-1980,"" Chronicling America, accessed July 3, 2016. ""Canonsburg Notes Now Weekly Paper,"" Observer-Reporter, January 15, 1980, accessed July 3, 2016. ""History of Canonsburg,""  Canonsburg Borough, accessed July 3, 2016. Jerry Grefenstette, Canonsburg (Charleston, SC: Arcadia, 2009), accessed July 3, 2016, eBook. Martha Cross Sarget, ""Fee, David Hamilton,"" PA-Roots, last updated January 20, 2006, accessed July 3, 2016. Rowell’s American Newspaper Directory (New York: Geo. P. Rowell & Company, 1887), accessed July 3, 2016, eBook. U.S. Census Bureau, ""1900 Census,"" accessed July 3, 2016, PDF.",MEDudley1901_TCN_Nov8,newspaper-article,"Dudley, M. E.","""The Woman of San Nicolas Island. A Strange Story of the Pacific Coast.""","8th year,","2,343",8,November,1901,1901-11-08,,"Canonsburg, Pennsylvania",
50,Canonsburg (PA) Notes,"The Canonsburg Notes (1875-1980) was a newspaper founded by Fulton Phillips out of Canonsburg, Pennsylvania; it was originally a weekly called the Rural Notes, but went through many name changes including the Daily Notes and the Chartiers Valley Notes. D. H. Fee and his brother William bought the paper in 1882, and introduced the daily edition in 1894. The Canonsburg Notes had a weekly circulation of 1,112 in 1900. Canonsburg (pop. 2,714 in 1900) and was known for coal mining and is located just southwest of Pittsburgh.","""About The daily notes. (Canonsburg, Pa.) 1903-1980,"" Chronicling America, accessed July 3, 2016. ""Canonsburg Notes Now Weekly Paper,"" Observer-Reporter, January 15, 1980, accessed July 3, 2016. ""History of Canonsburg,""  Canonsburg Borough, accessed July 3, 2016. Jerry Grefenstette, Canonsburg (Charleston, SC: Arcadia, 2009), accessed July 3, 2016, eBook. Martha Cross Sarget, ""Fee, David Hamilton,"" PA-Roots, last updated January 20, 2006, accessed July 3, 2016. Rowell’s American Newspaper Directory (New York: Geo. P. Rowell & Company, 1887), accessed July 3, 2016, eBook. U.S. Census Bureau, ""1900 Census,"" accessed July 3, 2016, PDF.",MEDudley1901_TCN_Nov9,newspaper-article,"Dudley, M. E.","""The Woman of San Nicolas Island. A Strange Story of the Pacific Coast.""","8th year,","2,343",9,November,1901,1901-11-09,,"Canonsburg, Pennsylvania",
51,Catholic Library World,"The Catholic Library World (1929-current) is the official quarterly journal of the Catholic Library Association. It features articles on all things that are related to libraries, with a particular focus on connecttions to Catholicism. The publication also reviews children’s literature.","""Call for Submissions-Catholic Library World,"" H-Net, accessed September 4, 2016. Gillian Adams and Sheila Ray, ""Reviewing and Scholarly Journals,"" International Companion Encyclopedia of Children’s Literature (London: Routledge, 2004), accessed September 4, 2016, eBook. ""Publications,"" Catholic Library Association, accessed September 4, 2016.",Thompson1978,journal-article,"Thompson, Sally Anne M.","""Scott O'Dell - Weaver of Stories.""","49,",8,,,1978,1978-01-01,,,
54,Chanute (KS) Daily Tribune,"The Chanute Daily Tribune (1892-current) is a daily newspaper founded by G. M. Dewey out of Chanute, Kansas. J. M. Cavaness was the president of the company from 1902 through the 1910s. Chanute, in southeast Kansas (pop. 10,286 in 1920), was known for its oil refineries.","""About The Chanute tribune. (Chanute, Kan.) 1946-current,"" Chronicling America, accessed July 19, 2016. Aspen Junge, ""Petroleum Refining: A 125 Year Kansas Legacy,"" Kansas Department of Health and Environment, June 30, 2010, accessed July 19, 2016. History of Neosho and Wilson Counties, Kansas (Fort Scott, KS: Monitor Printing, 1902), accessed July 19, 2016. Kansas State Historical Society, Thirteenth Biennial of the . . . Kansas State Historical Society (Topeka, KS: W. Y. Morgan, 1902), accessed July 19, 2016, eBook. U.S. Census Bureau, ""1920 Census,"" accessed July 18, 2016, PDF. William Elsey Connelley, History of Kansas Newspapers (Topeka, KS: Kansas State Printing Plant, 1916), accessed July 19, 2016, eBook.",TheChanuteDailyTribune1921,newspaper-article,,"""Alone For Eighteen Years. Indian Woman, Abandoned on Desert Island, FInally Found by Party of Otter Hunters.""","30,",103,8,August,1921,1921-08-08,,"Cahanute, Kansas",
55,Chatham (NC) Record,"The Chatham Record (1878-current) is a weekly newspaper founded by Henry Armand London out of Chatham, North Carolina. London owned and edited the paper until his death in 1918. Chatham County (pop. 23,912 in 1900) is located in the middle of the state and was mainly agricultural in the early 1900s.","""About The Chatham record. (Pittsboro, N.C.) 1878-current,"" Chronicling America, accessed July 10, 2016. ""History of Pittsboro, North Carolina,"" Almost Everything You’ve Wanted to Know About North Carolina, accessed July 10, 2016. U.S. Census Bureau, ""1900 Census,"" accessed July 10, 2016, PDF. William S. Powell, ed., ""London, Henry Armand,"" Dictionary of North Carolina (Chapel Hill: University of North Carolina Press, 1991), accessed July 10, 2016.",Gassaway1905_TCR,newspaper-article,"Gassaway, Frank.","""A Woman Crusoe.""","28,",12,2,November,1905,1905-11-02,,"Pittsboro, North Carolina",
56,Chicago Daily Tribune,"The Chicago Daily Tribune (1847-current) is a daily newspaper founded by James Kelly and John E. Wheeler out of Chicago. Initially, the paper only had 400 subscribers, even though Chicago itself had a population of 16,000 at that time. James Medill (later mayor of Chicago) and Dr. Charles Ray, editors in the 1850s, greatly increased the Tribune’s circulation. The paper was a strong supporter of the Republican Party, and especially Abraham Lincoln, who often came to conferences at the Tribune offices. By the end of the Civil War, the paper had a circulation of just under 47,000. The Tribune covered local news. scandals, and sports, and it published literary pieces from well known writers, even printing a revised edition of the New Testament in 1881. In the 1880s, with Medill still serving as editor, the paper devoted significant coverage to labor unrest, including the Haymarket Affair; at this time, daily circulation was around 60,000. The 1890’s brought the World’s Fair to Chicago, then the second largest city in the nation (1.2 million pop.). When Medill died in 1899, he left a newspaper legacy behind him that his family took up, especially his grandchildren, who all went into the newspaper business at the Tribune and other newspapers. In 1963, the paper dropped the Daily from its name.","Frank Luther Mott, American Journalism: A History of Newspapers in the United States Through 250 Years: 1690 to 1940 (New York: The Macmillan Company, 1941). Lloyd Wendt, Chicago Tribune (Chicago: Rand McNally, 1979).",Russell1857_CDT,newspaper-article,"Russell, C. J. W.","""Narrative of a Woman Who Lived Alone 18 Years Alone, Upon the Island of San Nicolas, Coast of California.""","10,",264,16,April,1857,1857-04-16,"Wheeler, Stewart & Scripps","Chicago, Illinois",
56,Chicago Daily Tribune,"The Chicago Daily Tribune (1847-current) is a daily newspaper founded by James Kelly and John E. Wheeler out of Chicago. Initially, the paper only had 400 subscribers, even though Chicago itself had a population of 16,000 at that time. James Medill (later mayor of Chicago) and Dr. Charles Ray, editors in the 1850s, greatly increased the Tribune’s circulation. The paper was a strong supporter of the Republican Party, and especially Abraham Lincoln, who often came to conferences at the Tribune offices. By the end of the Civil War, the paper had a circulation of just under 47,000. The Tribune covered local news. scandals, and sports, and it published literary pieces from well known writers, even printing a revised edition of the New Testament in 1881. In the 1880s, with Medill still serving as editor, the paper devoted significant coverage to labor unrest, including the Haymarket Affair; at this time, daily circulation was around 60,000. The 1890’s brought the World’s Fair to Chicago, then the second largest city in the nation (1.2 million pop.). When Medill died in 1899, he left a newspaper legacy behind him that his family took up, especially his grandchildren, who all went into the newspaper business at the Tribune and other newspapers. In 1963, the paper dropped the Daily from its name.","Frank Luther Mott, American Journalism: A History of Newspapers in the United States Through 250 Years: 1690 to 1940 (New York: The Macmillan Company, 1941). Lloyd Wendt, Chicago Tribune (Chicago: Rand McNally, 1979).",ChicagoDailyTribune1872,newspaper-article,N/A                            N/A                         N/A                           N/A,"""Hona  Maria.""","25,",362,11,August,1872,1872-08-11,Tribune Co.,"Chicago, Illinois",
56,Chicago Daily Tribune,"The Chicago Daily Tribune (1847-current) is a daily newspaper founded by James Kelly and John E. Wheeler out of Chicago. Initially, the paper only had 400 subscribers, even though Chicago itself had a population of 16,000 at that time. James Medill (later mayor of Chicago) and Dr. Charles Ray, editors in the 1850s, greatly increased the Tribune’s circulation. The paper was a strong supporter of the Republican Party, and especially Abraham Lincoln, who often came to conferences at the Tribune offices. By the end of the Civil War, the paper had a circulation of just under 47,000. The Tribune covered local news. scandals, and sports, and it published literary pieces from well known writers, even printing a revised edition of the New Testament in 1881. In the 1880s, with Medill still serving as editor, the paper devoted significant coverage to labor unrest, including the Haymarket Affair; at this time, daily circulation was around 60,000. The 1890’s brought the World’s Fair to Chicago, then the second largest city in the nation (1.2 million pop.). When Medill died in 1899, he left a newspaper legacy behind him that his family took up, especially his grandchildren, who all went into the newspaper business at the Tribune and other newspapers. In 1963, the paper dropped the Daily from its name.","Frank Luther Mott, American Journalism: A History of Newspapers in the United States Through 250 Years: 1690 to 1940 (New York: The Macmillan Company, 1941). Lloyd Wendt, Chicago Tribune (Chicago: Rand McNally, 1979).",ChicagoDailyTribune1891,newspaper-article,N/A                            N/A                         N/A                           N/A,"""She Lived Alone Among Skeletons.""","51,",278,5,October,1891,1891-10-05,,"Chicago, Illinois",
56,Chicago Daily Tribune,"The Chicago Daily Tribune (1847-current) is a daily newspaper founded by James Kelly and John E. Wheeler out of Chicago. Initially, the paper only had 400 subscribers, even though Chicago itself had a population of 16,000 at that time. James Medill (later mayor of Chicago) and Dr. Charles Ray, editors in the 1850s, greatly increased the Tribune’s circulation. The paper was a strong supporter of the Republican Party, and especially Abraham Lincoln, who often came to conferences at the Tribune offices. By the end of the Civil War, the paper had a circulation of just under 47,000. The Tribune covered local news. scandals, and sports, and it published literary pieces from well known writers, even printing a revised edition of the New Testament in 1881. In the 1880s, with Medill still serving as editor, the paper devoted significant coverage to labor unrest, including the Haymarket Affair; at this time, daily circulation was around 60,000. The 1890’s brought the World’s Fair to Chicago, then the second largest city in the nation (1.2 million pop.). When Medill died in 1899, he left a newspaper legacy behind him that his family took up, especially his grandchildren, who all went into the newspaper business at the Tribune and other newspapers. In 1963, the paper dropped the Daily from its name.","Frank Luther Mott, American Journalism: A History of Newspapers in the United States Through 250 Years: 1690 to 1940 (New York: The Macmillan Company, 1941). Lloyd Wendt, Chicago Tribune (Chicago: Rand McNally, 1979).",ChicagoDailyTribune1892,newspaper-article,N/A                            N/A                         N/A                           N/A,"""Covered with Human Skeletons: The Story of San Nicolas Island and its Last Inhabitant.""","51,",107,16,April,1892,1892-04-16,Tribune Co.,"Chicago, Illinois",
56,Chicago Daily Tribune,"The Chicago Daily Tribune (1847-current) is a daily newspaper founded by James Kelly and John E. Wheeler out of Chicago. Initially, the paper only had 400 subscribers, even though Chicago itself had a population of 16,000 at that time. James Medill (later mayor of Chicago) and Dr. Charles Ray, editors in the 1850s, greatly increased the Tribune’s circulation. The paper was a strong supporter of the Republican Party, and especially Abraham Lincoln, who often came to conferences at the Tribune offices. By the end of the Civil War, the paper had a circulation of just under 47,000. The Tribune covered local news. scandals, and sports, and it published literary pieces from well known writers, even printing a revised edition of the New Testament in 1881. In the 1880s, with Medill still serving as editor, the paper devoted significant coverage to labor unrest, including the Haymarket Affair; at this time, daily circulation was around 60,000. The 1890’s brought the World’s Fair to Chicago, then the second largest city in the nation (1.2 million pop.). When Medill died in 1899, he left a newspaper legacy behind him that his family took up, especially his grandchildren, who all went into the newspaper business at the Tribune and other newspapers. In 1963, the paper dropped the Daily from its name.","Frank Luther Mott, American Journalism: A History of Newspapers in the United States Through 250 Years: 1690 to 1940 (New York: The Macmillan Company, 1941). Lloyd Wendt, Chicago Tribune (Chicago: Rand McNally, 1979).",ChicagoDailyTribune1902,newspaper-article,N/A                            N/A                         N/A                           N/A,"""To Explore the Strange Island of San Nicolas: An Expedition from the University of California Will Visit the Gruesome Land That is Spread Over with Skulls and Thighbones of a Lost Race.""","50,",61,2,March,1902,1902-03-02,Tribune Co.,"Chicago, Illinois",
58,New York Christian Advocate and Journal,"The Christian Advocate and Journal (1833-1865) was a weekly Methodist Episcopal newspaper out of New York, which has had variations of the original title name throughout its publication. Barber Badger was the titular director of the original publication, but the paper fell under the auspices of various editors until 1840, when Thomas E. Bond took over. Bond was a dentist and a minister, and he was chosen as the paper’s editor by the Methodist Conference because of his steadfastness to Church ideals, during a time of religious and political turmoil. The Church was split over the issue of slavery, and the pro-slavery churches split off from the conference in 1845. Despite the controversy, the newspaper retained a circulation of 25,000 that year, with a price of $1.25 per issue.","Donald G. Matthews, Slavery and Methodism (Princeton: Princeton University Press, 1965), 272-273. ""Editorial."" The Christian Advocate (New York), September 13, 1906, accessed February 28, 2016, eBook. Methodist Episcopal Church, Journal of the General Conference of the Methodist Episcopal Church (New York: Lane & Scott, 1848), accessed February 28, 2016, eBook.",ChristianAdvocateAndJournal1847,newspaper-article,,"""A Female Crusoe.""","22,",9,3,March,1847,1847-03-03,,"New York, New York",
59,Christian Science Monitor,"The Christian Science Monitor (1908-current) is a daily publication out of Boston founded by Mary Baker Eddy, also founder of the First Church of Christ, Scientist. Eddy began the paper to provide an alternative to periodicals known for their yellow journalism and for attacking her church. Though the First Church of Christ, Scientist, owns the Christian Science Monitor, it professes secular reporting. Erwin D. Canham was the editor from 1940-64, and he is credited with increasing circulation and expanding the paper’s scope to worldwide news coverage. The Monitor reached its highest circulation in 1970, with 223,000 readers.","""About The Christian Science Monitor,"" Christian Science Monitor, accessed August 28, 2016. Jon Fine, ""The Christian Science Monitor to Become a Weekly,"" Bloomberg, October 28, 2008, accessed August 28, 2016. William Dicke, ""Erwin Canham, Longtime Editor of the Christian Science Monitor,"" New York Times, January 4, 1982, accessed August 28, 2016.",Trott1964,newspaper-article,"Trott, Harlan.","""Island Mystery about Kind Mrs. Robinson Crusoe.""","56,",44,17,January,1964,1964-01-17,,"Boston, Massachusetts",
60,New York Christian Union,"The Christian Union (1870-93) is a monthly Christian magazine started by the renowned Congregationalist minister Henry Ward Beecher, out of New York. Lyman Abbott became the editor in 1881. The magazine continued after 1893 as the Outlook, still a religious publication, with articles by Beecher, but with a more literary focus, featuring story serials by Harriet Beecher Stowe and Louisa Mae Alcott, among others.","Frank Luther Mott, A History of American Magazines 1741-1850 (Cambridge: Harvard University Press, 1958), accessed February 28, 2016, eBook. ""Henry Ward Beecher,"" NNBD, accessed April 24, 2016. ""Lyman Abbott,"" encyclopedia.com, accessed April 24, 2016.",ChristianUnion1885,magazine-article,,"""A Female Crusoe.""","31,",21,21,May,1885,1885-05-21,,"New York, New York",
61,Cincinnati Commercial Tribune,"The Cincinnati Commercial Gazette (1883-96) was a daily Republican newspaper founded by Murat Halstead from the Cincinnati Gazette and the Cincinnati Commercial. Cincinnati had a population of 300,000 in 1890, with large industries in iron production and meatpacking.","""About Cincinnati commercial gazette. (Cincinnati, [Ohio]) 1883-1896,"" Chronicling America, accessed April 24, 2016. Annual Reports for 1900 (Columbus, OH: Fred J. Heer, 1900), accessed April 24, 2016, eBook. ""Cincinnati, Ohio,"" Ohio History Connection, accessed April 10, 2016. Marvin Bergman, Iowa History Reader (Iowa City: University of Iowa Press, 1996), accessed April 24, 2016, eBook. ""Murat Halstead,"" Ohio History Central, accessed April 24, 2016. U.S. Census Bureau, ""1890 Census,"" accessed April 24, 2016, PDF.",CincinnatiCommercialTribune1885,newspaper-article,,"""A Feminine Crusoe. Eighteen Years on a Desert Island--How She Lived and Dressed.""","45,",231,18,May,1885,1885-05-18,,"Cincinnati, Ohio",
62,Cincinnati Enquirer,"The Cincinnati Enquirer (1841-current) is a daily newspaper founded by John and Charles Brough out of Cincinnati. It boasts the oldest continuous Sunday edition in print in the United States today; while it was not the first newspaper to print regularly on Sundays, the others have been discontinued. Founder John Brough started his newspaper career at the age of twelve, when he apprenticed with papers in his home of Marietta, Ohio. He also cultivated an early interest in politics, becoming state auditor and a member of the Ohio legislature. With his brother Charles, he bought the Cincinnati Advertiser in 1841, and changed its name to the Enquirer. The new paper followed John’s political allegiances, starting off as a Democratic paper, but switching to a National Union Party (Republican) paper around election time in 1864. John was nominated by the National Union Party to become governor, and served from 1864-65, when he died of gangrene from an ankle sprain. However, by this point, the Cincinnati Enquirer was already under the ownership of Washington McLean, who passed down the paper to his son, John, in 1881; John McLean more than quintupled the paper’s circulation to around 90,000. Cincinnati had a population of 300,000 in 1890, with large industries in iron production and meat packing.","""Cincinnati, Ohio,"" Ohio History Connection, accessed April 10, 2016. Dan Horn and Jeff Suess, ""Enquirer Reveals Much about Cincinnati,"" Cincinatti.com, accessed April 10, 2016. Joel M. Beall, ""The Cincinnati Enquirer Turns 174 Years Old,"" Cincinatti.com, accessed April 10, 2016. ""John R. McLean,"" Ohio History Connection, accessed April 10, 2016. ""John Brough,"" Ohio History Connection, accessed April 10, 2016. Keith Altavilla, ""Brough, John (1811-1865),"" Spencer C. Tucker, ed., American Civil War (Santa Barbara, CA: ABC-CLIO, 2015), accessed April 10, 2016.",Stuart1880_TCE,newspaper-article,"Stuart, Absalom B.","""A Female Crusoe. An Indian Woman Who Lived Eighteen Years Alone on an Island in the Pacific.""","38,",248,4,September,1880,1880-09-04,,"Cincinnati, Ohio",
62,Cincinnati Enquirer,"The Cincinnati Enquirer (1841-current) is a daily newspaper founded by John and Charles Brough out of Cincinnati. It boasts the oldest continuous Sunday edition in print in the United States today; while it was not the first newspaper to print regularly on Sundays, the others have been discontinued. Founder John Brough started his newspaper career at the age of twelve, when he apprenticed with papers in his home of Marietta, Ohio. He also cultivated an early interest in politics, becoming state auditor and a member of the Ohio legislature. With his brother Charles, he bought the Cincinnati Advertiser in 1841, and changed its name to the Enquirer. The new paper followed John’s political allegiances, starting off as a Democratic paper, but switching to a National Union Party (Republican) paper around election time in 1864. John was nominated by the National Union Party to become governor, and served from 1864-65, when he died of gangrene from an ankle sprain. However, by this point, the Cincinnati Enquirer was already under the ownership of Washington McLean, who passed down the paper to his son, John, in 1881; John McLean more than quintupled the paper’s circulation to around 90,000. Cincinnati had a population of 300,000 in 1890, with large industries in iron production and meat packing.","""Cincinnati, Ohio,"" Ohio History Connection, accessed April 10, 2016. Dan Horn and Jeff Suess, ""Enquirer Reveals Much about Cincinnati,"" Cincinatti.com, accessed April 10, 2016. Joel M. Beall, ""The Cincinnati Enquirer Turns 174 Years Old,"" Cincinatti.com, accessed April 10, 2016. ""John R. McLean,"" Ohio History Connection, accessed April 10, 2016. ""John Brough,"" Ohio History Connection, accessed April 10, 2016. Keith Altavilla, ""Brough, John (1811-1865),"" Spencer C. Tucker, ed., American Civil War (Santa Barbara, CA: ABC-CLIO, 2015), accessed April 10, 2016.",TheCincinnatiEnquirer1895,newspaper-article,,"""Exploration Of the Channel Islands, Which Constitute California's Only Archipelago, To Be Undertaken By Stanford Students. A Rich Field For Anthropological and Archæological Research--Uncanny Traditions.""","52,",'97,'7,April,'1895,1895-04-07,Faran & McLean,"Cincinnati, Ohio",
62,Cincinnati Enquirer,"The Cincinnati Enquirer (1841-current) is a daily newspaper founded by John and Charles Brough out of Cincinnati. It boasts the oldest continuous Sunday edition in print in the United States today; while it was not the first newspaper to print regularly on Sundays, the others have been discontinued. Founder John Brough started his newspaper career at the age of twelve, when he apprenticed with papers in his home of Marietta, Ohio. He also cultivated an early interest in politics, becoming state auditor and a member of the Ohio legislature. With his brother Charles, he bought the Cincinnati Advertiser in 1841, and changed its name to the Enquirer. The new paper followed John’s political allegiances, starting off as a Democratic paper, but switching to a National Union Party (Republican) paper around election time in 1864. John was nominated by the National Union Party to become governor, and served from 1864-65, when he died of gangrene from an ankle sprain. However, by this point, the Cincinnati Enquirer was already under the ownership of Washington McLean, who passed down the paper to his son, John, in 1881; John McLean more than quintupled the paper’s circulation to around 90,000. Cincinnati had a population of 300,000 in 1890, with large industries in iron production and meat packing.","""Cincinnati, Ohio,"" Ohio History Connection, accessed April 10, 2016. Dan Horn and Jeff Suess, ""Enquirer Reveals Much about Cincinnati,"" Cincinatti.com, accessed April 10, 2016. Joel M. Beall, ""The Cincinnati Enquirer Turns 174 Years Old,"" Cincinatti.com, accessed April 10, 2016. ""John R. McLean,"" Ohio History Connection, accessed April 10, 2016. ""John Brough,"" Ohio History Connection, accessed April 10, 2016. Keith Altavilla, ""Brough, John (1811-1865),"" Spencer C. Tucker, ed., American Civil War (Santa Barbara, CA: ABC-CLIO, 2015), accessed April 10, 2016.",TheCincinnatiEnquirer1897,newspaper-article,,"""Island. Covered With Human Bones. San Nicolas, the Golgotha of the Pacific. Strange Story of the Wild Woman Found There--Home of an Ancient Savage Race.""","54,",135,15,May,1897,1897-05-15,,"Cincinnati, Ohio.",
62,Cincinnati Enquirer,"The Cincinnati Enquirer (1841-current) is a daily newspaper founded by John and Charles Brough out of Cincinnati. It boasts the oldest continuous Sunday edition in print in the United States today; while it was not the first newspaper to print regularly on Sundays, the others have been discontinued. Founder John Brough started his newspaper career at the age of twelve, when he apprenticed with papers in his home of Marietta, Ohio. He also cultivated an early interest in politics, becoming state auditor and a member of the Ohio legislature. With his brother Charles, he bought the Cincinnati Advertiser in 1841, and changed its name to the Enquirer. The new paper followed John’s political allegiances, starting off as a Democratic paper, but switching to a National Union Party (Republican) paper around election time in 1864. John was nominated by the National Union Party to become governor, and served from 1864-65, when he died of gangrene from an ankle sprain. However, by this point, the Cincinnati Enquirer was already under the ownership of Washington McLean, who passed down the paper to his son, John, in 1881; John McLean more than quintupled the paper’s circulation to around 90,000. Cincinnati had a population of 300,000 in 1890, with large industries in iron production and meat packing.","""Cincinnati, Ohio,"" Ohio History Connection, accessed April 10, 2016. Dan Horn and Jeff Suess, ""Enquirer Reveals Much about Cincinnati,"" Cincinatti.com, accessed April 10, 2016. Joel M. Beall, ""The Cincinnati Enquirer Turns 174 Years Old,"" Cincinatti.com, accessed April 10, 2016. ""John R. McLean,"" Ohio History Connection, accessed April 10, 2016. ""John Brough,"" Ohio History Connection, accessed April 10, 2016. Keith Altavilla, ""Brough, John (1811-1865),"" Spencer C. Tucker, ed., American Civil War (Santa Barbara, CA: ABC-CLIO, 2015), accessed April 10, 2016.",TheCincinnatiEnquirer1899,newspaper-article,,"""Woman. Hermit of San Nicholas. Her Unbroken Solitude of Eighteen Years. Small Island in the Pacific Which Has Proved a Treasure House for the Archaeologists.""","56,",84,25,March,1889,1899-03-25,,"Cincinnati, Ohio",
63,Cold Spring (NY) Recorder,"The Cold Spring Recorder (1866-current) is a weekly newspaper founded by Charles Blanchard out of Cold Spring, New York. Otis Montrose was the owner from 1920-37, when the Recorder merged with the Putnam County News to form the Putnam County News and Recorder, which is the name the paper currently goes by. Cold Spring, north of New Yor City on the Hudson River, had a population of 1,784 in 1930.","""About The Cold Spring recorder. (Cold Spring, N.Y.) 1866-1937,"" Chronicling America, accessed July 26, 2016. Aiden Galliagn, ""PCNR Celebrates Ailes Family Ownership, Prepares for 150th Birthday,"" Putnam County News and Recorder, July 1, 2015, accesed July 26, 2016. U.S. Census Bureau, ""1930 Census,"" accessed July 26, 2016, PDF.",TheColdSpringRecorder1930,newspaper-article,,"""Crusoe Not in It With Indian Woman Recluse.""","64,","3,305",25,July,1930,1930-07-25,,"Cold Spring, New York",
320,Launceston (AUS) Cornwall Chronicle,"The Cornwall Chronicle (1835-80) was a newspaper founded by William Mann and William Goodwin out of Launceston, Tasmania, Australia. Goodwin was so outspoken in his political views that Mann left the partnership soon after the paper’s founding. The Chronicle’s rival, the Examiner, acquired the Chronicle in 1880. Launceston, in northern Tasmania, experienced a mining boom in the late 1870s.","""About Us,"" Examiner, Fairfax, accessed October 23, 2016, http://www.examiner.com.au/about-us/. C. J. Craig, ""Goodwin, William Lushington (1798-1862),"" Australian History of Biography, National Centre of Biography, Australian National University, 1966, accessed October 30, 2016, eBook. ""History of Launceston,"" Launceston City Council, accessed October 23, 2016, http://www.launceston.tas.gov.au/lcc/index.php?c=85. Julian Burgess, ""Launceston’s Historic Newspaper,"" The Local History Site: Tasmania, Australia, March 26, 2016, accessed October 30, 2016, http://www.julianburgess.com.au/single-post/56fa478c0cf2e1f8bbc1149e.",CornwallChronicle1879,newspaper-article,,"""Swearing by Dispatch,""",43,no. 5205,21,May,1879,1879-05-21,,"Launceston, Tasmania, Australia",
65,Cortland (NY) News,"The Cortland News (1880-87) was a weekly newspaper founded by C.H. Buell and E.M. Lansing out of Cortland, New York. Frank G. Kinney took over in 1882, and then the Cortland News was sold to Silas Hammond Strowbridge in 1884. Cortland was known for its dairying, along with wagon and small tools manufacturing during this time. The population was growing: 4,050 residents in 1880 up to 8,590 in 1890.","""About The Cortland news. (Cortland, N.Y.) 1880-1???,"" Chronicling America, accessed April 24, 2016. Jeff Pain, ""Cortland News Suspends Publication,"" Cortland Contrarian, posted July 18, 2014, accessed April 24, 2016. ""Local History,"" Cortland NY accessed April 24, 2016. U.S. Census Bureau, ""1880 Census,"" accessed April 24, 2016, PDF. U.S. Census Bureau, ""1890 Census,"" accessed April 24, 2016, PDF.",CortlandNews1885,newspaper-article,,"""Crusoe In Petticoats. A Woman Who Was Eighteen Years on a Desert Island.""","6,",2,26,June,1885,1885-06-26,Clayton H. Buell,"Cortland, New York",
