,"Publication Title 

(Do not put <i> or </i>)",Source Note,Source Note Citation Information,Documents,"CMS 16th Ed. Citation Format Designation 

(categorization below determines how the spreadsheet is read by the website programming)

book-entire, book-chapter/section, book-edition, book-pamphlet, book-report/report section, journal-article, magazine-article, newspaper-article, newspaper-figure, newspaper-supplement-article, newspaper-newsletter-article, review-book, review-film, review-sound recording-transcription, personal communication, thesis/dissertation, manuscript, blog/website",Author Name,Article Title,Volume Number,Issue Number,Day,Month,Year,Standardized Date (yyyy-mm-dd),"Publisher 

(required for monograph)","Place of Publication

for maps on website

also for browse by publication location feature",Editor
id,publicationtitle,note,bibl,documents,,,,,,,,,,,,
312,Honolulu (Hawaii) Pacific Commercial Advertiser,"A Source Note for this publication can be found on the Library of Congress' <a href=""http://chroniclingamerica.loc.gov/lccn/sn85047084/"">
Chronicling America: Historic American Newspapers</a> webpage.",,CommercialAdvertiser1857,newspaper-article,"C. J. W. Russell,","""A California Crusoe. Narrative of a Woman Who Lived Eighteen Years Alone Upon the Island of San Nicolas,""",2,no. 6,6,August,1857,1857-08-06,,"Honolulu, Hawaii",
215,Salt Lake Evening Democrat,"A Source Note for this publication can be found on the Library of Congress' <a href=""http://chroniclingamerica.loc.gov/lccn/sn85058117/"">Chronicling America: Historic American Newspapers</a> webpage.",,SaltLakeEveningDemocrat1885,newspaper-article,,"""A Feminine Crusoe."" ",,,14,July,1885,1885-07-14,,"Salt Lake City, Utah",Alfales Young
28,Bemidji (MN) Daily Pioneer,"A Source Note for this publication can be found on the Library of Congress' <a href=""http://chroniclingamerica.loc.gov/lccn/sn86063381/"">
Chronicling America: Historic American Newspapers</a> webpage.",,TheBemidjiDailyPioneer1921,newspaper-article,,"""Alone For Eighteen Years. Indian Woman, Abandoned on Desert Island, FInally Found by Party of Otter Hunters."" ","19, ",75,16,July,1921,1921-07-16,,"Bemidji, Minnesota",
327,Fort Worth (TX) Daily Gazette,"A Source Note for this publication can be found on the Library of Congress' <a href=""http://chroniclingamerica.loc.gov/lccn/sn86064205/"">
Chronicling America: Historic American Newspapers</a> webpage.",,FortWorthDailyGazette1887,newspaper-article,,"""Two Indian Ghosts. A Lost Maiden, and a Chief Who Leaped from a Cliff,""",12,no. 200,15,February,1887,1887-02-15,,"Forth Worth, Texas",
333,Laporte (PA) Sullivan Republican,"A Source Note for this publication can be found on the Library of Congress' <a href=""http://chroniclingamerica.loc.gov/lccn/sn86081853/"">
Chronicling America: Historic American Newspapers</a> webpage.",,SullivanRepublican1892,newspaper-article,,"""Covered with Skeletons. San Nicolas Island and Its Gruesome Story,""",10,no. 24,25,March,1892,1892-03-25,,"Laporte, PA",
37,Brownsville (TX) Daily Herald,"A Source Note for this publication can be found on the Library of Congress' <a href=""http://chroniclingamerica.loc.gov/lccn/sn86099906/"">
Chronicling America: Historic American Newspapers</a> webpage.",,Gassaway1905_BDH,newspaper-article,"Gassaway, Frank. ","""A Woman Crusoe."" ","13, ",289,6,June,1905,1905-06-06,,"Brownsville, Texas",
326,Indiana State Sentinel,"A Source Note for this publication can be found on the Library of Congress' <a href=""http://chroniclingamerica.loc.gov/lccn/sn87056600/"">
Chronicling America: Historic American Newspapers</a> webpage.",,"TheIndianaStateSentinel1885
Blanco1882_TIS",newspaper-article,"[Fred Spalding Witter],","""The Lost Woman of San Nicolas. One of the Strange Stories of Santa Barbara, California,""",31,no. 19,10,June,1885,1885-06-10,,"Indianapolis, Indiana",
162,Barbourville (KY) Mountain Advocate,"A Source Note for this publication can be found on the Library of Congress' <a href=""http://chroniclingamerica.loc.gov/lccn/sn87060032/"">
Chronicling America: Historic American Newspapers</a> webpage.",,Lyttle1908,newspaper-article,"Lyttle, G. Brittain.","""Education As a Leading Factor In Human Life.""","5,",36,16,October,1908,1908-10-16,Daniel William Clark,"Barbourville, Kentucky",Daniel William Clark
253,Tiffin (OH) Tribune,"A Source Note for this publication can be found on the Library of Congress' <a href=""http://chroniclingamerica.loc.gov/lccn/sn87076794/"">
Chronicling America: Historic American Newspapers</a> webpage.",,TiffinTribune1879,newspaper-article,,"""A Female Crusoe."" ","31, ",27,3,April,1879,1879-04-03,,"Tiffin, Ohio",
22,Lake Providence (LA) Banner-Democrat,"A Source Note for this publication can be found on the Library of Congress' <a href=""http://chroniclingamerica.loc.gov/lccn/sn88064237/"">
Chronicling America: Historic American Newspapers</a> webpage.",,TheBannerDemocrat1901,newspaper-article,,"""The Woman of San Nicolas Island. A Strange Story of the Pacific Coast."" ","14, ",11,28,December,1901,1901-12-28,,"Lake Providence, Louisiana",
38,Bryan (TX) Daily Eagle,"A Source Note for this publication can be found on the Library of Congress' <a href=""http://chroniclingamerica.loc.gov/lccn/sn88083938/"">
Chronicling America: Historic American Newspapers</a> webpage.",,TheBryanDailyEagle1897,newspaper-article,,"""Golgotha Of Pacific. An Island Covered With Old Human Bones. Extinct Race of Veritable Giants--Capture of Sole Survivor of the Ancient Race That Inhabited San Nicolas Island."" ","2, ",178,26,June,1897,1897-06-26,,"Bryan, Texas",
328,Mexico (MO) Weekly Ledger,"A Source Note for this publication can be found on the Library of Congress' <a href=""http://chroniclingamerica.loc.gov/lccn/sn89067274/"">
Chronicling America: Historic American Newspapers</a> webpage.",,MexicoWeeklyLedger1887,newspaper-article,,"""A Mountain Mystery,""",28,no. 45,17,February,1887,1887-02-17,,"Mexico, Missouri",
213,Saint Paul (MN) Globe,"A Source Note for this publication can be found on the Library of Congress' <a href=""http://chroniclingamerica.loc.gov/lccn/sn90059523/"">Chronicling America: Historic American Newspapers</a> webpage.",,TheSaintPaulGlobe1896,newspaper-article,,"""Isles of Mystery. Mementoes of An Extinct Race In the Pacific Ocean. Deserted Channel Islands. Thoroughly Explored at Last by Prof. Charles Fred Holden. San Nicolas' Lone Woman. Remains That Tell of an Interesting Tribe of Quite Aesthetic Tastes.""","29,",363,28,December,1896,1896-12-28,,"Saint Paul, Minnesota",
24,Beaver (OK) Herald,"A Source Note for this publication can be found on the Library of Congress' <a href=""http://chroniclingamerica.loc.gov/lccn/sn93066071/"">
Chronicling America: Historic American Newspapers</a> webpage.",,Julian1901_TBH,newspaper-article,"Julian, Edward. ","""Stories Of Riches. They Came from All Parts of Our Wonderful Country. New Deposits of Precious Metals and Minerals Discovered in the Far West--The Wonders of San Nicolas."" ","15, ",33,19,December,1901,1901-12-19,,"Beaver, Oklahoma",
156,San Francisco Morning Call,"A Source Note for this publication can be found on the Library of Congress' <a href=""http://chroniclingamerica.loc.gov/lccn/sn94052989/"">
Chronicling America: Historic American Newspapers</a> webpage.",,TheMorningCall1893,newspaper-article,,"""A Stricken Isle. Earthquake Shocks San Nicolas. Gales and Tidal Waves. Terrible Experience of Fishermen Off the Coast of Southern California.""","74,",73,7,July,1893,1893-07-07,San Francisco Call Co.,"San Francisco, California",
325,Morrisville and Hyde Park (VT) News and Citizen,"A Source Note for this publication can be found on the Library of Congress' <a href=""http://chroniclingamerica.loc.gov/lccn/sn97067613/"">
Chronicling America: Historic American Newspapers</a> webpage.",,NewsAndCitizen1885,newspaper-article,"[Fred Spalding Witter],","""A Female Crusoe. The Singular Story of the Lost Woman of San Nicolas. Found on an Island Where She had Remained for Sixteen Years,""",13,no. 15,25,June,1885,1885-06-25,,"Morrisville, Vermont",
268,Vermont Phoenix,"A Source Note for this publication can be found on the Library of Congress' <a href=""http://chroniclingamerica.loc.gov/lccn/sn98060050/"">
Chronicling America: Historic American Newspapers</a> webpage.",,Hardacre1880_VP,newspaper-article,"Hardacre, Emma. ","""Eighteen Years Alone. A Tale of the Pacific."" ","47, ",37,10,September,1880,1880-09-10,,"Brattleboro, Vermont",
71,Omaha (NE) Daily Bee,"A Source Note for this publication can be found on the Library of Congress' <a href=""http://chroniclingamerica.loc.gov/lccn/sn99021999/"">
Chronicling America: Historic American Newspapers</a> webpage.",,"TheDailyBee1885
TheOmahaDailyBee1887
TheOmahaDailyBee1892",newspaper-article,,"""A Feminine Crusoe. Eighteen Years on a Desert Island--How She Lived and Dressed.""",,236,22,May,1885,1885-05-22,The Bee Publishing Co,"Omaha, Nebraska",Edward Rosewater
72,Salem (OR) Daily Capital Journal,"A Source Note for this publication can be found on the Library of Congress' <a href=""http://chroniclingamerica.loc.gov/lccn/sn99063957/"">
Chronicling America: Historic American Newspapers</a> webpage.",,Gassaway1905_DCJ,newspaper-article,"Gassaway, Frank. ","""A Woman Crusoe."" ","15, ",176,28,July,1905,1905-07-28,,"Salem, Oregon",
291,Lismore (AUS) Northern Star and Richmond and Tweed Rivers Advocate,"The <i> Northern Star and Richmond and Tweed Rivers Advocate</i> (1876-current) is a newspaper founded by William Kelleway, an Englishman, out of Lismore, New South Wales, Australia. Lismore had just recently been founded as a town in the 1870s, and it was known for its timber and cattle.","""Biography: William Kelleway,"" <i>Clarence and Richmond Examiner</i>, September 2, 1911, accessed October 2, 2016, http://www.austlit.edu.au/austlit/page/6328835. Bridget Griffen-Foley and Janet E. McNaught, ""Northern Star,"" <i>A Companion to the Australian Media</i> (North Melbourne: Australian Scholarly, 2014), accessed October 2, 2016, eBook. ""History of Lismore,"" <i>Lismore City Council</i>, accessed October 2, 2016, http://www.lismore.nsw.gov.au/cp_themes/default/page.asp?p=DOC-XOP-77-61-33.",TheNorthernStar1879,newspaper-article,,"""A Female Crusoe,"" ","4, ",no. 19,17,May,1879,1879-05-17,,"Lismore, New South Wales",
1,Adams County (IA) Free Press,"The <i>Adams County Free Press</i> (1883-present) is a weekly paper published in Corning, the county seat of Adams County, Iowa. E.C. Russell, a lawyer, founded and edited the paper until his nomination by President Grover Cleveland to port appraiser of Portland, Oregon. J.W. Weed, a saddler, purchased the paper in 1890. R. G. Weissall became the editor in 1900 and continued until 1918. Adams County had a population of 13,601 in 1900, but it declined to 10,998 by 1910. Agriculture was the primary industry in this area.","""About Adams County free press. (Corning, Adams County, Iowa) 1883-current,"" <i>Chronicling America</i>, accessed February 9, 2016. <i>Biographical History of Montgomery and Adams County, Iowa</i>, (Chicago: Lewis Publishing Company, 1892), print. ""Corning Departmental Club and Civic Department of Corning, Iowa,""<i>History of Adams County Iowa</i>, (Dallas: Taylor Publishing Co., 1984), print. ""Died,"" <i>Adams County Free Press</i>, (Corning, Iowa) 29 March 1905: 8, accessed February 9, 2016.
",Gassaway1905_ACFP,newspaper-article,"Gassaway, Frank. ","""Story of a Woman Crusoe. Unlike Defoe's Hero, Her End Is Pathetic In the Extreme."" ","23, ",31,12,August,1905,1905-08-12,,"Corning, Iowa",
8,Alamance (NC) Gleaner,"The <i>Alamance Gleaner</i> (1875-1963) was a weekly Democratic newspaper founded by Confederate army captain E. S. Parker out of Graham, North Carolina, the seat of Alamance County. John D. Kernodle, Sr. was the publisher of the <i>Alamance Gleaner</i> from 1880 to 1944. Graham, which is located in northern North Carolina (pop. 2,366 in 1920), was becoming a manufacturing community in the 1920s, with textile milles, coffin making, and various building material industries.","""About The Alamance gleaner. (Graham, Alamance County, N.C.) 1875-1963,"" <i>Chronicling America</i>, accessed July 18, 2016. Amy Edwards Barr and Jerry Peterman, <i>Images of America: Graham</i> (Charleston, SC: Arcadia, 2013), accessed July 18, 2016, eBook. ""Graham, North Carolina,"" <i>City of Graham</i>, accessed July 18, 2016, PDF. U.S. Census Bureau, ""1920 Census,"" accessed July 18, 2016, PDF. Walter Whitaker, <i>Centennial History of Alamance County  1849-1949</i> (Burlington, North Carolina: Burlington Chamber of Commerce, 1949), accessed February 14, 2016, eBook.",TheAlmanceGleaner1921,newspaper-article,,"""Alone For Eighteen Years. Indian Woman, Abandoned on Desert Island, FInally Found by Party of Otter Hunters."" ","47, ",21,30,June,1921,1921-06-30,,"Graham, North Carolina",
5,Albany (NY) Evening Journal,"The <i>Albany Evening Journal</i> (1830-1925) was a daily paper originally founded as an Anti-Mason publication by Thurlow Weed. Under his editorship for 33 years, the paper transitioned from Anti-Masonic to Whig to Republican, becoming the second leading party paper in the state, behind the <i>New York Tribune</i>. Weed is credited with putting the only two Whig presidents in the White House. Interests in politics expanded during the years of the <i>Evening Journal</i>’s publication, and the city’s population increased dramatically with an influx of immigrants. The population reached 50,763 in 1850 (up 50% from the 1840 census) and 90,758 by 1880. The <i>Journal</i>, very affordable for its type, catered to a daily circulation of 4,500, with weekly numbers reaching 18,000 in 1878.  ","""About Albany evening journal. (Albany, [N.Y.]) 1830-1925,"" </i>Chronicling America</i>, accessed January  31, 2016. Anthony Opalka, ""Albany: One of America’s First Cities,"" <i>Albany Institute of History & Art</i>, last updated 2016, accessed January 31, 2016. ""City History,"" City of Albany, NY, last updated 2013, accessed January 31, 2016. Editors of Encyclopedia Britannica, ""Thurlow Weed,"" Encyclopedia Britannica, last updated 2016, accessed January 31, 2016.  Frank Luther Mott, <i>American Journalism: A History of Newspapers in the United States Through 250 Years: 1690 to 1940</i> (New York: Macmillan, 1941), 256-66. John J. McEneny, <i>Albany: Capital City on the Hudson</i> (Sun Valley, CA: American Historical Press, 2006), 143. <i>Pettengill’s Newspaper Directory and Advertiser’s Hand-book for 1878</i> (New York: S.M. PettenGill & Co., Publishers, 1878), accessed January 31, 2016, eBook. U.S. Census Bureau, ""1850 Census,"" accessed Janurary 31, 2016, PDF. U.S. Census Bureau, ""1880 Census,"" accessed January 31, 2016, PDF.","AlbanyEveningJournal1853
AlbanyEveningJournal1879","newspaper-article
newspaper-article",,"""A Female Robinson Crusoe."" 
""A Feminine Crusoe. Alone on a Dreary Desert Island for Eighteen Years.""","24, 
49,","7,172
14,830","2
14","November
February","1853
1879","Wed Nov 02 1853 07:56:02 GMT+0300 (EAT)
Fri Feb 14 1879 07:56:02 GMT+0300 (EAT)","----
The Journal Co.","Albany, New York
Albany, New York","----
Henry James Ten Eyck"
7,Allegany County (NY) Republican,"The <i>Allegany County Republican</i> (1880-?) was a weekly newspaper out of Allegany County, New York, which was officially founded in 1880, although had been under various names and owners since 1830. From 1880 to 1901, Lamonte G. Raymond was the sole editor (and sometimes writer) of the paper, well known for his unconventional methods: he seldom wrote out his articles before printing them, preferring to compose the article right in the printing press. When Lewis C. Rice took over the paper, it was circulating 1,086 papers a week around the county (pop. 41,501). Allegany was mainly manufactural at this time, with flour mills and textile factories, but also supported farming and dairy industries.","""About Allegany County Republican. (Angelica Court House, N.Y.) 1880-????,"" <i>Chronicling America</i>, accessed February 9, 2016. <i>Fourth Estate: A Weekly Newspaper for Publishers, Advertisers, Advertising Agents and Allied Interests, Issues 358-409</i> (n.p.: Fourth Estate Publishing Company, 1901), accessed February 9, 2016, eBook. <i>History and Present Condition of the Newspaper and Periodical Press of the United States: With a Catalogue of the Publication of the Census Year</i> (Washington, DC: U.S. Government Printing Office, 1884), accessed February 9, 2016, eBook. N.W. Ayer and Son, <i>N.W. Ayer & Son’s American Newspaper Annual</i> (Philadelphia: N.W. Ayer & Son, 1902), accessed February 9, 2016 eBook.",AlleganyCountyRepublican1901,newspaper-article,,"""The Woman of San Nicolas Island. A Strange Story of the Pacific Coast."" ","81, ",43,25,October,1901,1901-10-25,,"Friendship, New York",
9,American Anthropologist,"The <i>American Anthropologist</i> (1888-current) is the journal of the American Anthropological Association. It was originally a quarterly publication of the Anthropological Association of Washington. In 1902, however, it became the official publication of the newly incorporated American Anthropological Association. For a period beginning in 1896, the  <i>American Anthropologist</i> was published monthly; today it is a quarterly academic journal.","Alan L. Bain, <i>Guide to the American Anthropological Association Records, 1904-2005</i> (Suitland, Maryland: National Anthropological Archives, 2015), accessed July 10, 2016, eBook. ""American Anthropologist,"" <i>American Anthropological Association</i>, accessed July 10, 2016. Daniel S. Lamp, ""The Story of the Anthropological Society of Washington,"" American Anthropologist 8 (1906): 564-79.",AmericanAnthropologist1905,journal-article,,"""Proceedings of the California Meeting of the American Anthropological Association, August 29-September 2, 1905.""","7,",4,,,1905,1905-08-29,American Anthropological Association,"Lancaster, Pennsylvania

Portland, Oregon",Charles Peabody (Secretary) http://www.jstor.org/stable/view/659119
11,Amsterdam (NY) Daily Democrat,"The <i>Amsterdam Daily Democrat</i> (1879-86) was founded when William J. Kline turned the weekly newspaper, the <i>Democrat</i>, into a daily paper. In 1886, the new daily paper changed its name again, to the <i>Daily Democrat</i>. At three cents a copy, this Republican paper reached a daily circulation by 1887. It served the city of Amsterdam, New York (pop. 16,000 in 1887) and the surrounding areas along the Mohawk River. During the late nineteenth century, this area of upstate New York was a center for the manufacture of household goods; agriculture was also a central economic activity. ","""About The Amsterdam daily Democrat. (Amsterdam, N.Y.) 1879-1886,"" <i>Chronicling America</i>, accessed  January 30, 2016. Andrew Van Vranken Raymond, <i>Union University: Its History, Influence, Characteristics and Equipment, Volume 2</i> (New York: Lewis Publishing House, 1907) accessed January 30, 2016, eBook.  George Overcash Seilhamer, <i>Leslie’s History of the Republican Party. V.2</i> (New York: L.A. Williams Pub. And Engraving, 1899), accessed January 30, 2016, eBook. <i>Rowell’s American Newspaper Directory</i> (New York: George P. Rowell, 1887), accessed January 30, 2016, eBook. William H. Kirwin, ed., <i>Kirwin & Co.’s Amsterdam Directory, Port Jackson and Rock City Included</i> (Amsterdam, NY: Daily Democrat Publishing House, 1883) accessed January 30, 2016, eBook.",TheAmsterdamDailyDemocrat1885,newspaper-article,,"""A Feminine Crusoe. How She Lived Eighteen Years On a Desert Island. The Story of the Lost Woman of San Nicolas--Her Ingenuity and Fertility of Invention--A Wonderful History.""","6,",255,17,June,1885,1885-06-17,William J. Kline,"Amsterdam, New York",William J. Kline
282,Archiv für anthropologie,"The <i>Archiv für Anthropologie</i> (1866-1943) was a quarterly publication founded by Alexander Ecker and Ludwig Lindenschmidt out of Braunschweig, Germany. Ecker was an anthropologiwst interested in craniology, and Lindenschmidt was a historian. The journal, which published anthropological research and information on museum exhibits was the first of its kind in Germany and immediately preceded the founding of the German Anthropological Association. After the founding of the Association, <i>Archiv für Anthropologie</i> became the its flagship publication until World War II disrupted its publication.","""Alexander Ecker,"" <i>Whonamedit?</i>, Ole Daniel Enerson, accessed September 19, 2016, http://www.whonamedit.com/doctor.cfm/3145.html. Chris Manias, ""Building the Science of Man,"" <i>Race, Science and the Nation</i> (New York: Routledge, 2013), accessed September 19, 2016, eBook. Frank Spencer, ""Archiv für Anthropologie,"" <i>History of Physical Anthropology, Volume 1</i> (New York: Garland, 1997), accessed September 19, 2016, eBook. Jane M. Oppenheimer, ""Karl Ernst, Ritter von Baer,"" <i>Encyclopedia Britannica</i>, accessed September 19, 2016. Jörg Orshiedt, Ursula Willwer-Backofen, and Stefan Flohr, ""Germany/Deutschland,"" <i>Routledge Handbook of Archaeologial Human Remains and Legislation</i> (London: Routledge, 2011), accessed September 19, 2016, eBook. Tim Murray, ""Romano-Germanic Central Museum Established in Mainz by Ludwig Lindenschmidt,"" <i>Milestones in Archaeology</i> (Santa Barbara, CA: ABC-CLIO, 2007), accessed September 19, 2016, eBook.",Schumacher1875_AFA,journal-article,"Paul Schumacher, ","""Die Anfertigung der Angelhaken aus Muschelschalen bei deǹ früheren Bewohnern der Inseln im Santa Barbara Canal"" [The Manufacture of Shell Fish-hooks by the Early Inhabitants of the Santa Barbara Channel Islands],","8,",,,,1875,1875-01-01,,"Braunschweig [Brunswick], Germany",
283,Melbourne (AUS) Argus,"The <i>Argus</i> (1846-1957) was a newspaper founded by William Kerr out of Melbourne, Australia; it was originially a biweekly but later switched to a daily. William Kerr only retained control of the newspaper for two years because of libel suits leveled against hi. After Kerr’s departure, the paper became increasingly conservative. Its biggest comepetitor was the <i>Age</i>, which was much more liberal. Although the <i>Argus</i> had a smaller readership, it was read by the elite of the city, giving it more of an impact. In the 1870s, Melbourne was flourishing from the gold rush, attracting many settlers as well as private enterprise.","Garry Owen, ""The Argus,"" <i>Chronicles of Early Melbourne 1835-1852</i> (Melbourne: Fergusson and Mitchel, 1888), accessed September 18, 2016, eBook. ""History of Melbourne,"" <i>Only Melbourne</i>, accessed September 18, 2016, http://www.onlymelbourne.com.au/history-of-melbourne-581#.WB9EAjKZOu5. Lurline Stuart, ""Argus Newspaper,"" <i>Melbourne</i>, School of Historical and Philosophical Studies, University of Melbourne, July 2008, last accessed September 18, 2016. Tim Bonyhady, ""Fern Fever,"" <i>Colonial Earth</i> (Melbourne: Melbourne University Press, 2000), accessed Septemeber 18, 2016, eBook.","TheArgus1857
TheArgus1879",newspaper-article,,"No title,",,no. 10267,15,May,1879,1879-05-15,,"Melbourne, Australia",
15,Arkansas City (KS) Traveler,"The <i>Arkansas City Traveler</i> (1870-current) is a daily newspaper out of Arkansas City, Kansas; the founder of the paper is unclear, with sources listing either a Professor Norton or M. G. Mains as the original proprietor. In 1880, the paper became a member of the Associated Press, receiving news by horse or telegram. Thomas W. Eckert and Richard C. Howard became the owners in 1889. Arkansas City had a population of 8,347 in 1890, although this number often fluctuated as American Indian lands farther west were opened up for white settlement and Arkansas City residents moved westward.","""About Us,"" <i>arkcity.net</i>, accessed June 19, 2016. ""Arkansas City, Kansas History,"" <i>Kansas State History</i>, accessed June 19, 2016. ""History of Arkansas City, Kansas,"" <i>United States History</i>, accessed June 19, 2016. U.S. Census Bureau, ""1890 Census,"" accessed June 17, 2016, PDF. William E. Connelly, <i>A Standard History of Kansas and Kansans</i> (Chicago: Lewis, 1918), accessed June 19, 2016, eBook.",ArkansasCityTraveler1892,newspaper-article,,"""Wild Dogs Ate Her Child. The Story of San Nicolas Island and Its Last Inhabitant."" ","5, ",189,7,April,1892,1892-04-07,,"Arkansas City, Kansas",
17,Atlanta (GA) Constitution,"The <i>Atlanta Constitution</i> (1868-2001) was a daily newspaper founded by Carey Wentworth Styles out of Atlanta, Georgia. Evan P. Howell became the main editor in 1876 and continued in this role until 1897. An ex-Confederate soldier, Howell became a proponent of the New South, promoting reconciliation through the paper’s news and editorials. In 1878, he started publishing Joel Chandler Harris’ ""Uncle Remus"" stories. Henry Grady was the managing editor of the <i>Atlanta Constitution</i> in the 1880s during Howell’s editorship; Grady saw the newspaper, in part, as a tool in to promoting Atlanta to northern investors. The <i>Constitution</i> had a daily circulation of 5,000 in 1881. Atlanta was growing throughout the 1880s, increasing from a population of 21,879 in 1880 to 65,533 in 1890. The main industries were cotton and railroad manufacturing. The <i>Constitution</i> rivaled the <i>Atlanta Journal</i> after the <i>Journal</i> was founded in 1883, but the two newspapers merged in 2001 to become the <i>Atlanta Journal-Constitution</i>.","Andy Ambrose, ""Atlanta,"" <i>New Georgia Encyclopedia</i>, last updated Aust 11, 2015, accessed April 18, 2016. C.A. Cooke, <i>C.A. Cooke and Co.’s United States Newspaper Directory Revised</i> (Chicago: n.p., 1881), accessed April 18, 2016, eBook. Chuck Perry, ""<i>Atlanta Journal-Constitution</i>,"" <i>New Georgia Encyclopedia</i>, last updated August 9, 2013, accessed April 18, 2016. Darren Grem, ""Henry W. Grady (1850-1889),"" <i>New Georgia Encyclopedia</i> last updated January 6, 2016, accessed July 4, 2016. ""Evan P. Howell,"" <i>Georgia Historical Quarterly</i> 1, no. 1 (1917): 52-57. U.S. Census Bureau, ""1880 Census,"" accessed April 18, 2016, PDF. U.S. Census Bureau, ""1890 Census,"" accessed April 18, 2016, PDF.",Witter1885_TAC,newspaper-article,"Witter, Fred Spalding.","""A Feminine Crusoe.""",,,20,May,1885,1885-05-20,Constitution Publishing Co,"Atlanta, Georgia",Clark Howell
18,Augusta (GA) Chronicle,"The <i>Augusta Chonicle</i> (1785-current) is a daily newspaper originally founded by Greenberg Hughes out of Augusta, Georgia, as the <i>Augusta Gazette</i>. The paper underwent many name changes but settled at the current <i>Augusta Chonicle</i> in 1885 (5,000 circulation). Patrick Walsh, a city booster and the editor and owner from 1872-99, used the <i>Chonicle</i> as a city booster to attract northern tourism and business and also to voice his disapproval of African-American lynching. Augusta grew significantly in the last part of the nineteenth century, from a population of 21,891 in 1880 to 39,441 in 1900. The main industry was cotton milling.","Alan Sverdlik, ""<i>Augusta Chronicle</i>,"" <i>New Georgia Encyclopedia</i>, last updated August 8, 2013, accessed April 18, 2016. <i>Cha. C. Ford’s Newspaper Manual</i> (New Haven, CT: Chas. C. Ford, 1885), accessed April 18, 2016, eBook. ""History of Augusta,"" <i>National Park Service</i>, accessed April 18 2016. Staff, ""’Chronicle’ Grew Despite Early Trials,"" <i>Augusta Chronicle</i>, last updated August 29, 2010, accessed April 18, 2016. U.S. Census Bureau, ""1880 Census,"" accessed April 18, 2016, PDF. U.S. Census Bureau, ""1900 Census,"" accessed April 18, 2016, PDF.",AugustaChronicle1885,newspaper-article,,"""A Feminine Crusoe."" ",,,29,May,1885,1885-05-29,,"Augusta, Georgia",
19,Baltimore (MD) American,"The <i>Baltimore American</i> (1799-1986) was a newspaper founded by Alexander Martin out of Baltimore, Maryland; it was originally called the <i>American and Daily Advertiser</i>, but changed names numerous times throughout its run. The paper claimed to trace its lineage to the 1773 <i>Maryland Journal and Baltimore Advertiser</i>, but no evidence has been found to verify this. General Felix Angus was the owner in the early 1900s, when the circulation was around 65,554. The city of Baltimore (pop. 508,957 in 1900) suffered from the Great Baltimore Fire during Angus’ reign. The paper was sold to Frank Munsey in 1920, and again in 1923 to William Randolph Hearst who combined the <i>American</i> with the <i>Baltimore News</i> to form the <i>News-American</i>.","""Baltimore News American Collection,"" <i>Archives UM</i>, accessed July 10, 2016, http://digital.lib.umd.edu/archivesum/actions.DisplayEADDoc.do?source=MdU.ead.mdia.0001.xml. Clayton Colman Hall, <i>Baltimore: Its History and Its People</i> (New York: Lewis Historical, 1912), accessed July 10, 2016, eBook. ""History of Baltimore, Maryland,"" <i>United States History</i>, accessed July 10, 2016, http://www.u-s-history.com/pages/h3856.html. ""The Baltimore American,"" <i>Mahin’s Magazine</i> 2 (1903): 702, eBook. U.S. Census Bureau, ""1900 Census,"" accessed July 10, 2016, PDF.",Gassaway1905_BA,newspaper-article,"Gassaway, Frank. ","""Story of a Woman Crusoe."" ",199,"86,210",13,July,1905,1905-07-13,,"Baltimore, Maryland",
21,Bangor (ME) Daily Whig and Courier,"The <i>Bangor Daily Whig and Courier</i> (1834-1900) was a daily newspaper founded by William E. P. Rogers out of Bangor, Maine. It was a conservative Whig paper, but turned Republican once that party rose to prominence. Charles A. Boutelle and Benjamin A. Burr were the editors and owners in the 1880s. Bangor had a population of 16,857 and was known for its lumbering industry.","""About Bangor daily Whig & courier. Bangor, Me.) 1834-1900,"" <i>Chronicling America</i>, accessed April 18, 2016. Bangor Public Library, ""Charles A. Boutelle, Washington, DC, 1898,"" <i>Maine Memory Network</i>, accessed April 18, 2016. Geo. J. Varney, ""History of Bangor, Maine,"" <i>A Gazetteer of the State of Maine</i> (Boston: B.B. Russell, 1886), accessed April 18, 2016. <i>The Golden Argosy, Vol. 5</i> (New York: Frank A. Munsey, 1886), accessed April 18, 2016, eBook. John E. Godfrey, <i>Bangor</i> (Penobscot County, ME: Press of Penobscot County, n.d.), accessed April 18, 2016. <i>Proceedings of the Maine Press Association</i> (Bar Harbor, ME: Mount Desert, 1884), accessed April 18, 2016.",BangorDailyWhigAndCourier1885,newspaper-article,,"""Queen of San Nicolas. The Feminine Crusoe of the Pacific Ocean--Eighteen Years Alone on a Desert Island Seventy Miles From Shore."" ","52, ",121,21,May,1885,1885-05-21,,"Bangor, Maine",
